0 0.10049  1.65139e-09 2.91422e-10 0.0623298 0.0001
1 0.10147  1.6595e-09 2.92854e-10 0.0626331 0.0001
2 0.10245  1.66758e-09 2.94279e-10 0.0629349 0.0001
3 0.103431  1.67561e-09 2.95696e-10 0.0632352 0.0001
4 0.104411  1.68361e-09 2.97107e-10 0.0635342 0.0001
5 0.105391  1.69157e-09 2.98512e-10 0.0638317 0.0001
6 0.106371  1.69949e-09 2.9991e-10 0.0641278 0.0001
7 0.107351  1.70737e-09 3.01301e-10 0.0644226 0.0001
8 0.108332  1.71522e-09 3.02686e-10 0.0647161 0.0001
9 0.109312  1.72303e-09 3.04065e-10 0.0650082 0.0001
10 0.110292  1.73081e-09 3.05437e-10 0.065299 0.0001
11 0.111272  1.73855e-09 3.06804e-10 0.0655885 0.0001
12 0.112252  1.74626e-09 3.08164e-10 0.0658768 0.0001
13 0.113233  1.75394e-09 3.09518e-10 0.0661638 0.0001
14 0.114213  1.76158e-09 3.10867e-10 0.0664495 0.0001
15 0.115193  1.76918e-09 3.12209e-10 0.0667341 0.0001
16 0.116173  1.77676e-09 3.13546e-10 0.0670174 0.0001
17 0.117153  1.7843e-09 3.14877e-10 0.0672995 0.0001
18 0.118134  1.79181e-09 3.16203e-10 0.0675805 0.0001
19 0.119114  1.79929e-09 3.17523e-10 0.0678603 0.0001
20 0.120094  1.80674e-09 3.18837e-10 0.0681389 0.0001
21 0.121074  1.81416e-09 3.20146e-10 0.0684164 0.0001
22 0.122054  1.82155e-09 3.2145e-10 0.0686928 0.0001
23 0.123035  1.82891e-09 3.22749e-10 0.0689681 0.0001
24 0.124015  1.83624e-09 3.24042e-10 0.0692422 0.0001
25 0.124995  1.84354e-09 3.2533e-10 0.0695153 0.0001
26 0.125975  1.85081e-09 3.26613e-10 0.0697874 0.0001
27 0.126955  1.85805e-09 3.27891e-10 0.0700584 0.0001
28 0.127936  1.86526e-09 3.29164e-10 0.0703283 0.0001
29 0.128916  1.87245e-09 3.30433e-10 0.0705972 0.0001
30 0.129896  1.87961e-09 3.31696e-10 0.0708651 0.0001
31 0.130876  1.88674e-09 3.32955e-10 0.0711319 0.0001
32 0.131856  1.89385e-09 3.34208e-10 0.0713978 0.0001
33 0.132837  1.90093e-09 3.35458e-10 0.0716627 0.0001
34 0.133817  1.90798e-09 3.36702e-10 0.0719266 0.0001
35 0.134797  1.915e-09 3.37942e-10 0.0721896 0.0001
36 0.135777  1.92201e-09 3.39177e-10 0.0724516 0.0001
37 0.136757  1.92898e-09 3.40408e-10 0.0727126 0.0001
38 0.137738  1.93593e-09 3.41635e-10 0.0729727 0.0001
39 0.138718  1.94286e-09 3.42857e-10 0.0732319 0.0001
40 0.139698  1.94976e-09 3.44075e-10 0.0734902 0.0001
41 0.140678  1.95663e-09 3.45288e-10 0.0737476 0.0001
42 0.141658  1.96349e-09 3.46497e-10 0.074004 0.0001
43 0.142639  1.97031e-09 3.47702e-10 0.0742596 0.0001
44 0.143619  1.97712e-09 3.48903e-10 0.0745143 0.0001
45 0.144599  1.9839e-09 3.501e-10 0.0747682 0.0001
46 0.145579  1.99066e-09 3.51293e-10 0.0750212 0.0001
47 0.146559  1.99739e-09 3.52481e-10 0.0752733 0.0001
48 0.14754  2.00411e-09 3.53666e-10 0.0755246 0.0001
49 0.14852  2.0108e-09 3.54847e-10 0.0757751 0.0001
50 0.1495  2.01747e-09 3.56023e-10 0.0760247 0.0001
51 0.15048  2.02411e-09 3.57196e-10 0.0762735 0.0001
52 0.15146  2.03074e-09 3.58365e-10 0.0765216 0.0001
53 0.15244  2.03734e-09 3.5953e-10 0.0767688 0.0001
54 0.153421  2.04392e-09 3.60692e-10 0.0770152 0.0001
55 0.154401  2.05048e-09 3.6185e-10 0.0772608 0.0001
56 0.155381  2.05702e-09 3.63004e-10 0.0775057 0.0001
57 0.156361  2.06354e-09 3.64154e-10 0.0777497 0.0001
58 0.157341  2.07004e-09 3.65301e-10 0.0779931 0.0001
59 0.158322  2.07652e-09 3.66444e-10 0.0782356 0.0001
60 0.159302  2.08297e-09 3.67584e-10 0.0784774 0.0001
61 0.160282  2.08941e-09 3.6872e-10 0.0787185 0.0001
62 0.161262  2.09583e-09 3.69852e-10 0.0789588 0.0001
63 0.162242  2.10223e-09 3.70982e-10 0.0791984 0.0001
64 0.163223  2.10861e-09 3.72107e-10 0.0794373 0.0001
65 0.164203  2.11497e-09 3.7323e-10 0.0796755 0.0001
66 0.165183  2.12131e-09 3.74349e-10 0.0799129 0.0001
67 0.166163  2.12763e-09 3.75464e-10 0.0801497 0.0001
68 0.167143  2.13393e-09 3.76577e-10 0.0803857 0.0001
69 0.168124  2.14022e-09 3.77686e-10 0.0806211 0.0001
70 0.169104  2.14649e-09 3.78792e-10 0.0808558 0.0001
71 0.170084  2.15273e-09 3.79894e-10 0.0810898 0.0001
72 0.171064  2.15896e-09 3.80994e-10 0.0813231 0.0001
73 0.172044  2.16518e-09 3.8209e-10 0.0815558 0.0001
74 0.173025  2.17137e-09 3.83183e-10 0.0817878 0.0001
75 0.174005  2.17755e-09 3.84273e-10 0.0820191 0.0001
76 0.174985  2.18371e-09 3.8536e-10 0.0822498 0.0001
77 0.175965  2.18985e-09 3.86444e-10 0.0824798 0.0001
78 0.176945  2.19597e-09 3.87524e-10 0.0827092 0.0001
79 0.177926  2.20208e-09 3.88602e-10 0.082938 0.0001
80 0.178906  2.20817e-09 3.89677e-10 0.0831661 0.0001
81 0.179886  2.21424e-09 3.90749e-10 0.0833937 0.0001
82 0.180866  2.2203e-09 3.91818e-10 0.0836206 0.0001
83 0.181846  2.22634e-09 3.92884e-10 0.0838468 0.0001
84 0.182827  2.23237e-09 3.93947e-10 0.0840725 0.0001
85 0.183807  2.23838e-09 3.95007e-10 0.0842976 0.0001
86 0.184787  2.24437e-09 3.96065e-10 0.0845221 0.0001
