index,radius_AU,mass,size
0,1.771576e+00,0.000000e+00,0.000000e+00
1,1.641603e-01,7.065397e-08,0.000000e+00
2,1.640756e-01,1.388068e-07,0.000000e+00
3,1.639025e-01,2.699904e-07,0.000000e+00
4,1.641437e-01,6.291369e-08,0.000000e+00
5,1.639215e-01,6.127220e-08,0.000000e+00
6,1.640228e-01,1.178034e-07,0.000000e+00
7,1.639863e-01,5.663944e-08,0.000000e+00
8,1.639187e-01,5.518550e-08,0.000000e+00
9,1.640968e-01,1.061849e-07,0.000000e+00
10,1.638811e-01,5.108524e-08,0.000000e+00
11,1.639024e-01,4.979843e-08,0.000000e+00
12,1.639021e-01,4.854111e-08,0.000000e+00
13,1.638614e-01,4.732706e-08,0.000000e+00
14,1.640480e-01,4.613506e-08,0.000000e+00
15,1.638868e-01,4.497615e-08,0.000000e+00
16,1.639644e-01,4.383994e-08,0.000000e+00
17,1.640051e-01,4.272696e-08,0.000000e+00
18,1.639774e-01,4.164226e-08,0.000000e+00
19,1.638947e-01,4.056848e-08,0.000000e+00
20,1.640898e-01,3.951806e-08,0.000000e+00
21,1.638919e-01,3.847857e-08,0.000000e+00
22,1.639613e-01,3.745127e-08,0.000000e+00
23,1.639349e-01,3.644055e-08,0.000000e+00
24,1.638363e-01,3.543108e-08,0.000000e+00
25,1.640333e-01,3.444168e-08,0.000000e+00
26,1.637813e-01,3.346663e-08,0.000000e+00
27,1.637733e-01,3.249021e-08,0.000000e+00
28,1.639611e-01,3.154219e-08,0.000000e+00
29,1.640642e-01,3.061354e-08,0.000000e+00
30,1.640683e-01,2.967647e-08,0.000000e+00
31,1.639482e-01,2.871066e-08,0.000000e+00
32,1.640420e-01,2.782678e-08,0.000000e+00
33,1.640016e-01,2.696869e-08,0.000000e+00
34,1.638175e-01,2.607265e-08,0.000000e+00
35,1.638642e-01,2.513799e-08,0.000000e+00
36,1.637752e-01,2.422851e-08,0.000000e+00
37,1.639563e-01,2.340378e-08,0.000000e+00
38,1.638617e-01,2.267454e-08,0.000000e+00
39,1.637928e-01,2.202564e-08,0.000000e+00
40,1.640451e-01,2.144434e-08,0.000000e+00
41,1.640198e-01,2.091595e-08,0.000000e+00
42,1.639983e-01,2.043212e-08,0.000000e+00
43,1.640083e-01,1.998579e-08,0.000000e+00
44,1.640326e-01,1.957124e-08,0.000000e+00
45,1.637610e-01,1.918493e-08,0.000000e+00
