index,radius_AU,mass,size
0,1.771576e+00,0.000000e+00,0.000000e+00
1,1.641603e-01,3.272226e-08,0.000000e+00
2,1.640756e-01,6.489625e-08,0.000000e+00
3,1.639025e-01,3.121319e-08,0.000000e+00
4,1.641437e-01,3.052867e-08,0.000000e+00
5,1.639215e-01,2.989823e-08,0.000000e+00
6,1.652572e-01,2.929037e-08,0.000000e+00
7,1.687856e-01,2.871444e-08,6.684587e-14
8,1.686746e-01,5.583589e-08,6.684587e-14
9,1.729414e-01,2.717761e-08,1.336917e-13
10,1.763461e-01,2.671844e-08,2.005376e-13
11,1.796611e-01,2.628782e-08,2.673835e-13
12,1.827504e-01,2.587532e-08,3.342294e-13
13,1.860682e-01,2.548875e-08,4.010752e-13
14,1.893342e-01,4.988469e-08,4.679211e-13
15,1.925775e-01,2.444373e-08,5.347670e-13
16,1.957875e-01,2.413719e-08,5.347670e-13
17,1.989832e-01,2.384980e-08,6.016128e-13
18,2.021509e-01,4.691967e-08,6.684587e-13
19,2.053345e-01,2.310978e-08,7.353046e-13
20,2.083526e-01,2.290507e-08,8.021505e-13
21,2.116015e-01,4.527576e-08,8.689963e-13
22,2.148521e-01,2.241473e-08,9.358422e-13
23,2.181259e-01,4.449299e-08,1.002688e-12
24,2.214515e-01,8.868758e-08,1.002688e-12
25,2.248370e-01,1.326676e-07,1.069534e-12
26,2.282810e-01,1.763669e-07,1.136380e-12
27,2.317139e-01,2.197092e-07,1.203226e-12
28,2.353481e-01,2.151190e-08,1.270072e-12
29,2.390583e-01,4.265175e-08,1.270072e-12
30,2.428639e-01,2.111595e-08,1.336917e-12
31,2.466709e-01,4.174717e-08,1.403763e-12
32,2.506387e-01,2.059564e-08,1.403763e-12
33,2.545391e-01,2.038425e-08,1.470609e-12
34,2.585966e-01,2.014503e-08,1.537455e-12
35,2.625971e-01,1.987186e-08,1.537455e-12
36,2.664366e-01,1.956557e-08,1.604301e-12
37,2.705963e-01,1.927499e-08,1.604301e-12
38,2.751698e-01,1.899697e-08,1.671147e-12
39,2.803546e-01,1.873018e-08,1.671147e-12
40,2.860828e-01,1.847250e-08,1.737993e-12
41,2.927058e-01,1.822455e-08,1.737993e-12
42,3.001392e-01,1.798573e-08,1.804839e-12
43,3.088667e-01,1.775575e-08,1.804839e-12
44,3.189719e-01,1.753449e-08,1.871684e-12
45,3.307656e-01,1.732123e-08,1.938530e-12
46,3.449115e-01,1.711624e-08,1.938530e-12
