# Particle 0, r = 1.00000 AU, Hd = 1.713804e-03 AU, sigma_dust = 3.330000e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
  0.00252093  2.05283985e-06
  0.00281751  1.87272907e-06
  0.00311409  1.69107827e-06
  0.00341067  1.51154591e-06
  0.00370725  1.33735853e-06
  0.00400382  1.17123283e-06
  0.00430040  1.01533066e-06
  0.00459698  8.71245680e-07
  0.00489356  7.40018625e-07
  0.00519014  6.22176408e-07
  0.00548672  5.17789577e-07
  0.00578330  4.26542141e-07
  0.00607988  3.47807915e-07
  0.00637646  2.80728078e-07
  0.00667304  2.24285460e-07
  0.00696962  1.77372082e-07
  0.00726620  1.38847570e-07
  0.00756278  1.07587094e-07
  0.00785936  8.25184287e-08
  0.00815594  6.26484884e-08
  0.00845252  4.70802889e-08
  0.00874910  3.50216431e-08
  0.00904568  2.57871171e-08
  0.00934226  1.87948101e-08
  0.00963884  1.35594467e-08
  0.00993542  9.68311009e-09
  0.01023200  6.84473513e-09
  0.01052858  4.78924771e-09
  0.01082516  3.31701037e-09
  0.01112174  2.27402500e-09
  0.01141832  1.54316554e-09
  0.01171490  1.03657009e-09
  0.01201147  6.89213387e-10
  0.01230805  4.53604770e-10
  0.01260463  2.95508785e-10
  0.01290121  1.90560137e-10
  0.01319779  1.21636129e-10
  0.01349437  7.68532085e-11
  0.01379095  4.80651487e-11
  0.01408753  2.97555138e-11
  0.01438411  1.82336449e-11
  0.01468069  1.10598289e-11

# Particle 28, r = 2.37337 AU, Hd = 2.940752e-03 AU, sigma_dust = 2.161530e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.01470376  1.09277760e-11
 -0.01440672  1.80159377e-11
 -0.01410967  2.94002371e-11
 -0.01381262  4.74912575e-11
 -0.01351558  7.59355918e-11
 -0.01321853  1.20183811e-10
 -0.01292149  1.88284875e-10
 -0.01262444  2.91980451e-10
 -0.01232740  4.48188791e-10
 -0.01203035  6.80984274e-10
 -0.01173330  1.02419358e-09
 -0.01143626  1.52474035e-09
 -0.01113921  2.24687345e-09
 -0.01084217  3.27740573e-09
 -0.01054512  4.73206475e-09
 -0.01024808  6.76300994e-09
 -0.00995103  9.56749509e-09
 -0.00965399  1.33975488e-08
 -0.00935694  1.85704027e-08
 -0.00905989  2.54792224e-08
 -0.00876285  3.46034895e-08
 -0.00846580  4.65181567e-08
 -0.00816876  6.19004740e-08
 -0.00787171  8.15331700e-08
 -0.00757467  1.06302519e-07
 -0.00727762  1.37189749e-07
 -0.00698057  1.75254284e-07
 -0.00668353  2.21607523e-07
 -0.00638648  2.77376224e-07
 -0.00608944  3.43655136e-07
 -0.00579239  4.21449286e-07
 -0.00549535  5.11607241e-07
 -0.00519830  6.14747707e-07
 -0.00490125  7.31182905e-07
 -0.00460421  8.60843126e-07
 -0.00430716  1.00320775e-06
 -0.00401012  1.15724848e-06
 -0.00371307  1.32139066e-06
 -0.00341603  1.49349826e-06
 -0.00311898  1.67088703e-06
 -0.00282193  1.85036894e-06
 -0.00252489  2.02832922e-06
 -0.00222784  2.20083478e-06
 -0.00193080  2.36377051e-06
 -0.00163375  2.51299750e-06
 -0.00133671  2.64452500e-06
 -0.00103966  2.75468646e-06
 -0.00074261  2.84030871e-06
 -0.00044557  2.89886369e-06
 -0.00014852  2.92859232e-06
  0.00014852  2.92859232e-06
  0.00044557  2.89886369e-06
  0.00074261  2.84030871e-06
  0.00103966  2.75468646e-06
  0.00133671  2.64452500e-06
  0.00163375  2.51299750e-06
  0.00193080  2.36377051e-06
  0.00222784  2.20083478e-06
  0.00252489  2.02832922e-06
  0.00282193  1.85036894e-06
  0.00311898  1.67088703e-06
  0.00341603  1.49349826e-06
  0.00371307  1.32139066e-06
  0.00401012  1.15724848e-06
  0.00430716  1.00320775e-06
  0.00460421  8.60843126e-07
  0.00490125  7.31182905e-07
  0.00519830  6.14747707e-07
  0.00549535  5.11607241e-07
  0.00579239  4.21449286e-07
  0.00608944  3.43655136e-07
  0.00638648  2.77376224e-07
  0.00668353  2.21607523e-07
  0.00698057  1.75254284e-07
  0.00727762  1.37189749e-07
  0.00757467  1.06302519e-07
  0.00787171  8.15331700e-08
  0.00816876  6.19004740e-08
  0.00846580  4.65181567e-08
  0.00876285  3.46034895e-08
  0.00905989  2.54792224e-08
  0.00935694  1.85704027e-08
  0.00965399  1.33975488e-08
  0.00995103  9.56749509e-09
  0.01024808  6.76300994e-09
  0.01054512  4.73206475e-09
  0.01084217  3.27740573e-09
  0.01113921  2.24687345e-09
  0.01143626  1.52474035e-09
  0.01173330  1.02419358e-09
  0.01203035  6.80984274e-10
  0.01232740  4.48188791e-10
  0.01262444  2.91980451e-10
  0.01292149  1.88284875e-10
  0.01321853  1.20183811e-10
  0.01351558  7.59355918e-11
  0.01381262  4.74912575e-11
  0.01410967  2.94002371e-11
  0.01440672  1.80159377e-11
  0.01470376  1.09277760e-11

# Particle 29, r = 2.42242 AU, Hd = 2.903862e-03 AU, sigma_dust = 2.139535e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.01451931  1.09539917e-11
 -0.01422599  1.80591578e-11
 -0.01393267  2.94707681e-11
 -0.01363935  4.76051888e-11
 -0.01334603  7.61177609e-11
 -0.01305271  1.20472131e-10
 -0.01275939  1.88736570e-10
 -0.01246607  2.92680911e-10
 -0.01217275  4.49263994e-10
 -0.01187943  6.82617952e-10
 -0.01158611  1.02665062e-09
 -0.01129280  1.52839820e-09
 -0.01099948  2.25226369e-09
 -0.01070616  3.28526821e-09
 -0.01041284  4.74341696e-09
 -0.01011952  6.77923437e-09
 -0.00982620  9.59044747e-09
 -0.00953288  1.34296894e-08
 -0.00923956  1.86149530e-08
 -0.00894624  2.55403470e-08
 -0.00865292  3.46865031e-08
 -0.00835960  4.66297536e-08
 -0.00806628  6.20489730e-08
 -0.00777296  8.17287677e-08
 -0.00747964  1.06557539e-07
 -0.00718632  1.37518867e-07
 -0.00689301  1.75674718e-07
 -0.00659969  2.22139158e-07
 -0.00630637  2.78041648e-07
 -0.00601305  3.44479563e-07
 -0.00571973  4.22460341e-07
 -0.00542641  5.12834584e-07
 -0.00513309  6.16222484e-07
 -0.00483977  7.32937009e-07
 -0.00454645  8.62908285e-07
 -0.00425313  1.00561444e-06
 -0.00395981  1.16002471e-06
 -0.00366649  1.32456067e-06
 -0.00337317  1.49708116e-06
 -0.00307985  1.67489548e-06
 -0.00278653  1.85480797e-06
 -0.00249321  2.03319518e-06
 -0.00219990  2.20611458e-06
 -0.00190658  2.36944119e-06
 -0.00161326  2.51902617e-06
 -0.00131994  2.65086920e-06
 -0.00102662  2.76129494e-06
 -0.00073330  2.84712260e-06
 -0.00043998  2.90581805e-06
 -0.00014666  2.93561800e-06
  0.00014666  2.93561800e-06
  0.00043998  2.90581805e-06
  0.00073330  2.84712260e-06
  0.00102662  2.76129494e-06
  0.00131994  2.65086920e-06
  0.00161326  2.51902617e-06
  0.00190658  2.36944119e-06
  0.00219990  2.20611458e-06
  0.00249321  2.03319518e-06
  0.00278653  1.85480797e-06
  0.00307985  1.67489548e-06
  0.00337317  1.49708116e-06
  0.00366649  1.32456067e-06
  0.00395981  1.16002471e-06
  0.00425313  1.00561444e-06
  0.00454645  8.62908285e-07
  0.00483977  7.32937009e-07
  0.00513309  6.16222484e-07
  0.00542641  5.12834584e-07
  0.00571973  4.22460341e-07
  0.00601305  3.44479563e-07
  0.00630637  2.78041648e-07
  0.00659969  2.22139158e-07
  0.00689301  1.75674718e-07
  0.00718632  1.37518867e-07
  0.00747964  1.06557539e-07
  0.00777296  8.17287677e-08
  0.00806628  6.20489730e-08
  0.00835960  4.66297536e-08
  0.00865292  3.46865031e-08
  0.00894624  2.55403470e-08
  0.00923956  1.86149530e-08
  0.00953288  1.34296894e-08
  0.00982620  9.59044747e-09
  0.01011952  6.77923437e-09
  0.01041284  4.74341696e-09
  0.01070616  3.28526821e-09
  0.01099948  2.25226369e-09
  0.01129280  1.52839820e-09
  0.01158611  1.02665062e-09
  0.01187943  6.82617952e-10
  0.01217275  4.49263994e-10
  0.01246607  2.92680911e-10
  0.01275939  1.88736570e-10
  0.01305271  1.20472131e-10
  0.01334603  7.61177609e-11
  0.01363935  4.76051888e-11
  0.01393267  2.94707681e-11
  0.01422599  1.80591578e-11
  0.01451931  1.09539917e-11

# Particle 30, r = 2.47147 AU, Hd = 2.871585e-03 AU, sigma_dust = 2.118197e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.01435793  1.09666448e-11
 -0.01406787  1.80800182e-11
 -0.01377781  2.95048101e-11
 -0.01348775  4.76601781e-11
 -0.01319769  7.62056855e-11
 -0.01290763  1.20611290e-10
 -0.01261757  1.88954582e-10
 -0.01232751  2.93018990e-10
 -0.01203745  4.49782944e-10
 -0.01174739  6.83406453e-10
 -0.01145733  1.02783652e-09
 -0.01116728  1.53016367e-09
 -0.01087722  2.25486531e-09
 -0.01058716  3.28906306e-09
 -0.01029710  4.74889614e-09
 -0.01000704  6.78706515e-09
 -0.00971698  9.60152551e-09
 -0.00942692  1.34452022e-08
 -0.00913686  1.86364553e-08
 -0.00884680  2.55698490e-08
 -0.00855674  3.47265699e-08
 -0.00826668  4.66836162e-08
 -0.00797663  6.21206465e-08
 -0.00768657  8.18231736e-08
 -0.00739651  1.06680624e-07
 -0.00710645  1.37677716e-07
 -0.00681639  1.75877642e-07
 -0.00652633  2.22395754e-07
 -0.00623627  2.78362817e-07
 -0.00594621  3.44877476e-07
 -0.00565615  4.22948330e-07
 -0.00536609  5.13426966e-07
 -0.00507603  6.16934291e-07
 -0.00478598  7.33783634e-07
 -0.00449592  8.63905041e-07
 -0.00420586  1.00677604e-06
 -0.00391580  1.16136467e-06
 -0.00362574  1.32609068e-06
 -0.00333568  1.49881046e-06
 -0.00304562  1.67683018e-06
 -0.00275556  1.85695048e-06
 -0.00246550  2.03554375e-06
 -0.00217544  2.20866289e-06
 -0.00188538  2.37217816e-06
 -0.00159533  2.52193593e-06
 -0.00130527  2.65393126e-06
 -0.00101521  2.76448454e-06
 -0.00072515  2.85041135e-06
 -0.00043509  2.90917460e-06
 -0.00014503  2.93900897e-06
  0.00014503  2.93900897e-06
  0.00043509  2.90917460e-06
  0.00072515  2.85041135e-06
  0.00101521  2.76448454e-06
  0.00130527  2.65393126e-06
  0.00159533  2.52193593e-06
  0.00188538  2.37217816e-06
  0.00217544  2.20866289e-06
  0.00246550  2.03554375e-06
  0.00275556  1.85695048e-06
  0.00304562  1.67683018e-06
  0.00333568  1.49881046e-06
  0.00362574  1.32609068e-06
  0.00391580  1.16136467e-06
  0.00420586  1.00677604e-06
  0.00449592  8.63905041e-07
  0.00478598  7.33783634e-07
  0.00507603  6.16934291e-07
  0.00536609  5.13426966e-07
  0.00565615  4.22948330e-07
  0.00594621  3.44877476e-07
  0.00623627  2.78362817e-07
  0.00652633  2.22395754e-07
  0.00681639  1.75877642e-07
  0.00710645  1.37677716e-07
  0.00739651  1.06680624e-07
  0.00768657  8.18231736e-08
  0.00797663  6.21206465e-08
  0.00826668  4.66836162e-08
  0.00855674  3.47265699e-08
  0.00884680  2.55698490e-08
  0.00913686  1.86364553e-08
  0.00942692  1.34452022e-08
  0.00971698  9.60152551e-09
  0.01000704  6.78706515e-09
  0.01029710  4.74889614e-09
  0.01058716  3.28906306e-09
  0.01087722  2.25486531e-09
  0.01116728  1.53016367e-09
  0.01145733  1.02783652e-09
  0.01174739  6.83406453e-10
  0.01203745  4.49782944e-10
  0.01232751  2.93018990e-10
  0.01261757  1.88954582e-10
  0.01290763  1.20611290e-10
  0.01319769  7.62056855e-11
  0.01348775  4.76601781e-11
  0.01377781  2.95048101e-11
  0.01406787  1.80800182e-11
  0.01435793  1.09666448e-11

# Particle 31, r = 2.52052 AU, Hd = 2.841933e-03 AU, sigma_dust = 2.097486e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.01420966  1.09727223e-11
 -0.01392260  1.80900377e-11
 -0.01363554  2.95211610e-11
 -0.01334847  4.76865903e-11
 -0.01306141  7.62479168e-11
 -0.01277434  1.20678130e-10
 -0.01248728  1.89059296e-10
 -0.01220022  2.93181374e-10
 -0.01191315  4.50032203e-10
 -0.01162609  6.83785180e-10
 -0.01133902  1.02840612e-09
 -0.01105196  1.53101165e-09
 -0.01076490  2.25611490e-09
 -0.01047783  3.29088578e-09
 -0.01019077  4.75152786e-09
 -0.00990370  6.79082637e-09
 -0.00961664  9.60684645e-09
 -0.00932958  1.34526532e-08
 -0.00904251  1.86467832e-08
 -0.00875545  2.55840191e-08
 -0.00846838  3.47458145e-08
 -0.00818132  4.67094871e-08
 -0.00789426  6.21550723e-08
 -0.00760719  8.18685181e-08
 -0.00732013  1.06739744e-07
 -0.00703307  1.37754014e-07
 -0.00674600  1.75975109e-07
 -0.00645894  2.22519000e-07
 -0.00617187  2.78517079e-07
 -0.00588481  3.45068598e-07
 -0.00559775  4.23182718e-07
 -0.00531068  5.13711495e-07
 -0.00502362  6.17276181e-07
 -0.00473655  7.34190279e-07
 -0.00444949  8.64383796e-07
 -0.00416243  1.00733397e-06
 -0.00387536  1.16200827e-06
 -0.00358830  1.32682557e-06
 -0.00330123  1.49964106e-06
 -0.00301417  1.67775943e-06
 -0.00272711  1.85797956e-06
 -0.00244004  2.03667180e-06
 -0.00215298  2.20988688e-06
 -0.00186592  2.37349276e-06
 -0.00157885  2.52333352e-06
 -0.00129179  2.65540200e-06
 -0.00100472  2.76601655e-06
 -0.00071766  2.85199098e-06
 -0.00043060  2.91078679e-06
 -0.00014353  2.94063769e-06
  0.00014353  2.94063769e-06
  0.00043060  2.91078679e-06
  0.00071766  2.85199098e-06
  0.00100472  2.76601655e-06
  0.00129179  2.65540200e-06
  0.00157885  2.52333352e-06
  0.00186592  2.37349276e-06
  0.00215298  2.20988688e-06
  0.00244004  2.03667180e-06
  0.00272711  1.85797956e-06
  0.00301417  1.67775943e-06
  0.00330123  1.49964106e-06
  0.00358830  1.32682557e-06
  0.00387536  1.16200827e-06
  0.00416243  1.00733397e-06
  0.00444949  8.64383796e-07
  0.00473655  7.34190279e-07
  0.00502362  6.17276181e-07
  0.00531068  5.13711495e-07
  0.00559775  4.23182718e-07
  0.00588481  3.45068598e-07
  0.00617187  2.78517079e-07
  0.00645894  2.22519000e-07
  0.00674600  1.75975109e-07
  0.00703307  1.37754014e-07
  0.00732013  1.06739744e-07
  0.00760719  8.18685181e-08
  0.00789426  6.21550723e-08
  0.00818132  4.67094871e-08
  0.00846838  3.47458145e-08
  0.00875545  2.55840191e-08
  0.00904251  1.86467832e-08
  0.00932958  1.34526532e-08
  0.00961664  9.60684645e-09
  0.00990370  6.79082637e-09
  0.01019077  4.75152786e-09
  0.01047783  3.29088578e-09
  0.01076490  2.25611490e-09
  0.01105196  1.53101165e-09
  0.01133902  1.02840612e-09
  0.01162609  6.83785180e-10
  0.01191315  4.50032203e-10
  0.01220022  2.93181374e-10
  0.01248728  1.89059296e-10
  0.01277434  1.20678130e-10
  0.01306141  7.62479168e-11
  0.01334847  4.76865903e-11
  0.01363554  2.95211610e-11
  0.01392260  1.80900377e-11
  0.01420966  1.09727223e-11

# Particle 32, r = 2.56957 AU, Hd = 2.772029e-03 AU, sigma_dust = 2.077371e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.01386015  1.11415415e-11
 -0.01358014  1.83683594e-11
 -0.01330014  2.99753547e-11
 -0.01302014  4.84202656e-11
 -0.01274013  7.74210185e-11
 -0.01246013  1.22534806e-10
 -0.01218013  1.91968041e-10
 -0.01190013  2.97692075e-10
 -0.01162012  4.56956111e-10
 -0.01134012  6.94305461e-10
 -0.01106012  1.04422852e-09
 -0.01078011  1.55456681e-09
 -0.01050011  2.29082604e-09
 -0.01022011  3.34151724e-09
 -0.00994010  4.82463183e-09
 -0.00966010  6.89530568e-09
 -0.00938010  9.75465124e-09
 -0.00910010  1.36596271e-08
 -0.00882009  1.89336707e-08
 -0.00854009  2.59776385e-08
 -0.00826009  3.52803914e-08
 -0.00798008  4.74281294e-08
 -0.00770008  6.31113505e-08
 -0.00742008  8.31280947e-08
 -0.00714008  1.08381974e-07
 -0.00686007  1.39873409e-07
 -0.00658007  1.78682550e-07
 -0.00630007  2.25942535e-07
 -0.00602006  2.82802165e-07
 -0.00574006  3.50377603e-07
 -0.00546006  4.29693537e-07
 -0.00518005  5.21615131e-07
 -0.00490005  6.26773197e-07
 -0.00462005  7.45486061e-07
 -0.00434005  8.77682652e-07
 -0.00406004  1.02283217e-06
 -0.00378004  1.17988618e-06
 -0.00350004  1.34723926e-06
 -0.00322003  1.52271358e-06
 -0.00294003  1.70357237e-06
 -0.00266003  1.88656524e-06
 -0.00238003  2.06800672e-06
 -0.00210002  2.24388678e-06
 -0.00182002  2.41000980e-06
 -0.00154002  2.56215592e-06
 -0.00126001  2.69625632e-06
 -0.00098001  2.80857271e-06
 -0.00070001  2.89586989e-06
 -0.00042000  2.95557030e-06
 -0.00014000  2.98588046e-06
  0.00014000  2.98588046e-06
  0.00042000  2.95557030e-06
  0.00070001  2.89586989e-06
  0.00098001  2.80857271e-06
  0.00126001  2.69625632e-06
  0.00154002  2.56215592e-06
  0.00182002  2.41000980e-06
  0.00210002  2.24388678e-06
  0.00238003  2.06800672e-06
  0.00266003  1.88656524e-06
  0.00294003  1.70357237e-06
  0.00322003  1.52271358e-06
  0.00350004  1.34723926e-06
  0.00378004  1.17988618e-06
  0.00406004  1.02283217e-06
  0.00434005  8.77682652e-07
  0.00462005  7.45486061e-07
  0.00490005  6.26773197e-07
  0.00518005  5.21615131e-07
  0.00546006  4.29693537e-07
  0.00574006  3.50377603e-07
  0.00602006  2.82802165e-07
  0.00630007  2.25942535e-07
  0.00658007  1.78682550e-07
  0.00686007  1.39873409e-07
  0.00714008  1.08381974e-07
  0.00742008  8.31280947e-08
  0.00770008  6.31113505e-08
  0.00798008  4.74281294e-08
  0.00826009  3.52803914e-08
  0.00854009  2.59776385e-08
  0.00882009  1.89336707e-08
  0.00910010  1.36596271e-08
  0.00938010  9.75465124e-09
  0.00966010  6.89530568e-09
  0.00994010  4.82463183e-09
  0.01022011  3.34151724e-09
  0.01050011  2.29082604e-09
  0.01078011  1.55456681e-09
  0.01106012  1.04422852e-09
  0.01134012  6.94305461e-10
  0.01162012  4.56956111e-10
  0.01190013  2.97692075e-10
  0.01218013  1.91968041e-10
  0.01246013  1.22534806e-10
  0.01274013  7.74210185e-11
  0.01302014  4.84202656e-11
  0.01330014  2.99753547e-11
  0.01358014  1.83683594e-11
  0.01386015  1.11415415e-11

# Particle 33, r = 2.61862 AU, Hd = 2.704544e-03 AU, sigma_dust = 2.057823e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.01352272  1.13120971e-11
 -0.01324953  1.86495437e-11
 -0.01297635  3.04342197e-11
 -0.01270316  4.91614867e-11
 -0.01242997  7.86061853e-11
 -0.01215679  1.24410578e-10
 -0.01188360  1.94906702e-10
 -0.01161042  3.02249168e-10
 -0.01133723  4.63951230e-10
 -0.01106404  7.04933942e-10
 -0.01079086  1.06021365e-09
 -0.01051767  1.57836424e-09
 -0.01024448  2.32589418e-09
 -0.00997130  3.39266944e-09
 -0.00969811  4.89848766e-09
 -0.00942493  7.00085955e-09
 -0.00915174  9.90397618e-09
 -0.00887855  1.38687298e-08
 -0.00860537  1.92235087e-08
 -0.00833218  2.63753062e-08
 -0.00805899  3.58204663e-08
 -0.00778581  4.81541628e-08
 -0.00751262  6.40774638e-08
 -0.00723944  8.44006259e-08
 -0.00696625  1.10041093e-07
 -0.00669306  1.42014602e-07
 -0.00641988  1.81417836e-07
 -0.00614669  2.29401281e-07
 -0.00587350  2.87131322e-07
 -0.00560032  3.55741210e-07
 -0.00532713  4.36271318e-07
 -0.00505395  5.29600055e-07
 -0.00478076  6.36367889e-07
 -0.00450757  7.56898018e-07
 -0.00423439  8.91118285e-07
 -0.00396120  1.03848976e-06
 -0.00368801  1.19794797e-06
 -0.00341483  1.36786290e-06
 -0.00314164  1.54602339e-06
 -0.00286846  1.72965078e-06
 -0.00259527  1.91544493e-06
 -0.00232208  2.09966393e-06
 -0.00204890  2.27823637e-06
 -0.00177571  2.44690242e-06
 -0.00150252  2.60137759e-06
 -0.00122934  2.73753081e-06
 -0.00095615  2.85156656e-06
 -0.00068297  2.94020008e-06
 -0.00040978  3.00081439e-06
 -0.00013659  3.03158855e-06
  0.00013659  3.03158855e-06
  0.00040978  3.00081439e-06
  0.00068297  2.94020008e-06
  0.00095615  2.85156656e-06
  0.00122934  2.73753081e-06
  0.00150252  2.60137759e-06
  0.00177571  2.44690242e-06
  0.00204890  2.27823637e-06
  0.00232208  2.09966393e-06
  0.00259527  1.91544493e-06
  0.00286846  1.72965078e-06
  0.00314164  1.54602339e-06
  0.00341483  1.36786290e-06
  0.00368801  1.19794797e-06
  0.00396120  1.03848976e-06
  0.00423439  8.91118285e-07
  0.00450757  7.56898018e-07
  0.00478076  6.36367889e-07
  0.00505395  5.29600055e-07
  0.00532713  4.36271318e-07
  0.00560032  3.55741210e-07
  0.00587350  2.87131322e-07
  0.00614669  2.29401281e-07
  0.00641988  1.81417836e-07
  0.00669306  1.42014602e-07
  0.00696625  1.10041093e-07
  0.00723944  8.44006259e-08
  0.00751262  6.40774638e-08
  0.00778581  4.81541628e-08
  0.00805899  3.58204663e-08
  0.00833218  2.63753062e-08
  0.00860537  1.92235087e-08
  0.00887855  1.38687298e-08
  0.00915174  9.90397618e-09
  0.00942493  7.00085955e-09
  0.00969811  4.89848766e-09
  0.00997130  3.39266944e-09
  0.01024448  2.32589418e-09
  0.01051767  1.57836424e-09
  0.01079086  1.06021365e-09
  0.01106404  7.04933942e-10
  0.01133723  4.63951230e-10
  0.01161042  3.02249168e-10
  0.01188360  1.94906702e-10
  0.01215679  1.24410578e-10
  0.01242997  7.86061853e-11
  0.01270316  4.91614867e-11
  0.01297635  3.04342197e-11
  0.01324953  1.86495437e-11
  0.01352272  1.13120971e-11

# Particle 34, r = 2.66767 AU, Hd = 2.625737e-03 AU, sigma_dust = 2.038818e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.01312869  1.15439952e-11
 -0.01286346  1.90318595e-11
 -0.01259823  3.10581215e-11
 -0.01233301  5.01692977e-11
 -0.01206778  8.02176130e-11
 -0.01180256  1.26960997e-10
 -0.01153733  1.98902292e-10
 -0.01127210  3.08445279e-10
 -0.01100688  4.73462235e-10
 -0.01074165  7.19385095e-10
 -0.01047643  1.08194804e-09
 -0.01021120  1.61072072e-09
 -0.00994597  2.37357504e-09
 -0.00968075  3.46221920e-09
 -0.00941552  4.99890671e-09
 -0.00915030  7.14437724e-09
 -0.00888507  1.01070078e-08
 -0.00861984  1.41530389e-08
 -0.00835462  1.96175909e-08
 -0.00808939  2.69160002e-08
 -0.00782417  3.65547863e-08
 -0.00755894  4.91413237e-08
 -0.00729371  6.53910525e-08
 -0.00702849  8.61308396e-08
 -0.00676326  1.12296937e-07
 -0.00649804  1.44925903e-07
 -0.00623281  1.85136903e-07
 -0.00596758  2.34104009e-07
 -0.00570236  2.93017517e-07
 -0.00543713  3.63033909e-07
 -0.00517191  4.45214885e-07
 -0.00490668  5.40456862e-07
 -0.00464145  6.49413437e-07
 -0.00437623  7.72414436e-07
 -0.00411100  9.09386219e-07
 -0.00384578  1.05977881e-06
 -0.00358055  1.22250592e-06
 -0.00331532  1.39590411e-06
 -0.00305010  1.57771689e-06
 -0.00278487  1.76510864e-06
 -0.00251965  1.95471157e-06
 -0.00225442  2.14270706e-06
 -0.00198919  2.32494024e-06
 -0.00172397  2.49706394e-06
 -0.00145874  2.65470586e-06
 -0.00119352  2.79365022e-06
 -0.00092829  2.91002370e-06
 -0.00066306  3.00047422e-06
 -0.00039784  3.06233112e-06
 -0.00013261  3.09373615e-06
  0.00013261  3.09373615e-06
  0.00039784  3.06233112e-06
  0.00066306  3.00047422e-06
  0.00092829  2.91002370e-06
  0.00119352  2.79365022e-06
  0.00145874  2.65470586e-06
  0.00172397  2.49706394e-06
  0.00198919  2.32494024e-06
  0.00225442  2.14270706e-06
  0.00251965  1.95471157e-06
  0.00278487  1.76510864e-06
  0.00305010  1.57771689e-06
  0.00331532  1.39590411e-06
  0.00358055  1.22250592e-06
  0.00384578  1.05977881e-06
  0.00411100  9.09386219e-07
  0.00437623  7.72414436e-07
  0.00464145  6.49413437e-07
  0.00490668  5.40456862e-07
  0.00517191  4.45214885e-07
  0.00543713  3.63033909e-07
  0.00570236  2.93017517e-07
  0.00596758  2.34104009e-07
  0.00623281  1.85136903e-07
  0.00649804  1.44925903e-07
  0.00676326  1.12296937e-07
  0.00702849  8.61308396e-08
  0.00729371  6.53910525e-08
  0.00755894  4.91413237e-08
  0.00782417  3.65547863e-08
  0.00808939  2.69160002e-08
  0.00835462  1.96175909e-08
  0.00861984  1.41530389e-08
  0.00888507  1.01070078e-08
  0.00915030  7.14437724e-09
  0.00941552  4.99890671e-09
  0.00968075  3.46221920e-09
  0.00994597  2.37357504e-09
  0.01021120  1.61072072e-09
  0.01047643  1.08194804e-09
  0.01074165  7.19385095e-10
  0.01100688  4.73462235e-10
  0.01127210  3.08445279e-10
  0.01153733  1.98902292e-10
  0.01180256  1.26960997e-10
  0.01206778  8.02176130e-11
  0.01233301  5.01692977e-11
  0.01259823  3.10581215e-11
  0.01286346  1.90318595e-11
  0.01312869  1.15439952e-11

# Particle 35, r = 2.71672 AU, Hd = 2.536468e-03 AU, sigma_dust = 2.020329e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.01268234  1.18419082e-11
 -0.01242613  1.95230099e-11
 -0.01216992  3.18596306e-11
 -0.01191371  5.14640041e-11
 -0.01165750  8.22877687e-11
 -0.01140130  1.30237447e-10
 -0.01114509  2.04035313e-10
 -0.01088888  3.16405249e-10
 -0.01063267  4.85680755e-10
 -0.01037646  7.37950085e-10
 -0.01012025  1.10986960e-09
 -0.00986404  1.65228819e-09
 -0.00960783  2.43482929e-09
 -0.00935162  3.55156782e-09
 -0.00909542  5.12791223e-09
 -0.00883921  7.32875038e-09
 -0.00858300  1.03678368e-08
 -0.00832679  1.45182828e-08
 -0.00807058  2.01238571e-08
 -0.00781437  2.76106146e-08
 -0.00755816  3.74981464e-08
 -0.00730195  5.04095014e-08
 -0.00704574  6.70785829e-08
 -0.00678954  8.83535965e-08
 -0.00653333  1.15194956e-07
 -0.00627712  1.48665969e-07
 -0.00602091  1.89914685e-07
 -0.00576470  2.40145472e-07
 -0.00550849  3.00579346e-07
 -0.00525228  3.72402633e-07
 -0.00499607  4.56704433e-07
 -0.00473986  5.54404296e-07
 -0.00448366  6.66172686e-07
 -0.00422745  7.92347940e-07
 -0.00397124  9.32854520e-07
 -0.00371503  1.08712825e-06
 -0.00345882  1.25405482e-06
 -0.00320261  1.43192785e-06
 -0.00294640  1.61843263e-06
 -0.00269019  1.81066036e-06
 -0.00243398  2.00515632e-06
 -0.00217778  2.19800336e-06
 -0.00192157  2.38493939e-06
 -0.00166536  2.56150504e-06
 -0.00140915  2.72321519e-06
 -0.00115294  2.86574525e-06
 -0.00089673  2.98512195e-06
 -0.00064052  3.07790670e-06
 -0.00038431  3.14135992e-06
 -0.00012810  3.17357542e-06
  0.00012810  3.17357542e-06
  0.00038431  3.14135992e-06
  0.00064052  3.07790670e-06
  0.00089673  2.98512195e-06
  0.00115294  2.86574525e-06
  0.00140915  2.72321519e-06
  0.00166536  2.56150504e-06
  0.00192157  2.38493939e-06
  0.00217778  2.19800336e-06
  0.00243398  2.00515632e-06
  0.00269019  1.81066036e-06
  0.00294640  1.61843263e-06
  0.00320261  1.43192785e-06
  0.00345882  1.25405482e-06
