# Particle 0, r = 1.00000 AU, Hd = 1.713804e-03 AU, sigma_dust = 3.330000e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
  0.00626453  1.66409771e-08
  0.00644611  1.16436590e-08
  0.00662769  8.06434328e-09
  0.00680927  5.52862854e-09
  0.00699086  3.75175692e-09
  0.00717244  2.52011784e-09
  0.00735402  1.67562133e-09
  0.00753560  1.10280770e-09
  0.00771718  7.18443423e-10
  0.00789876  4.63291394e-10
  0.00808034  2.95722772e-10
  0.00826192  1.86846161e-10
  0.00844350  1.16856390e-10
  0.00862508  7.23418532e-11
  0.00880666  4.43297895e-11
  0.00898824  2.68887482e-11

# Particle 2, r = 1.09810 AU, Hd = 1.859061e-03 AU, sigma_dust = 3.177779e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.00929531  2.54131815e-11
 -0.00910752  4.18971154e-11
 -0.00891974  6.83719686e-11
 -0.00873195  1.10443693e-10
 -0.00854417  1.76592654e-10
 -0.00835639  2.79494472e-10
 -0.00816860  4.37867475e-10
 -0.00798082  6.79017594e-10
 -0.00779303  1.04228921e-09
 -0.00760525  1.58366871e-09
 -0.00741747  2.38182200e-09
 -0.00722968  3.54587275e-09
 -0.00704190  5.22523546e-09
 -0.00685411  7.62179845e-09
 -0.00666633  1.10046930e-08
 -0.00647855  1.57277747e-08
 -0.00629076  2.22497687e-08
 -0.00610298  3.11567822e-08
 -0.00591519  4.31865561e-08
 -0.00572741  5.92534201e-08
 -0.00553963  8.04724360e-08
 -0.00535184  1.08180691e-07
 -0.00516406  1.43953168e-07
 -0.00497627  1.89610149e-07
 -0.00478849  2.47212718e-07
 -0.00460071  3.19042775e-07
 -0.00441292  4.07564074e-07
 -0.00422514  5.15361238e-07
 -0.00403735  6.45054610e-07
 -0.00384957  7.99190092e-07
 -0.00366179  9.80104933e-07
 -0.00347400  1.18977252e-06
 -0.00328622  1.42963170e-06
 -0.00309844  1.70040856e-06
 -0.00291065  2.00194097e-06
 -0.00272287  2.33301822e-06
 -0.00253508  2.69124893e-06
 -0.00234730  3.07297116e-06
 -0.00215952  3.47321745e-06
 -0.00197173  3.88574539e-06
 -0.00178395  4.30314106e-06
 -0.00159616  4.71699809e-06
 -0.00140838  5.11816985e-06
 -0.00122060  5.49708640e-06
 -0.00103281  5.84412247e-06
 -0.00084503  6.14999736e-06
 -0.00065724  6.40618426e-06
 -0.00046946  6.60530382e-06
 -0.00028168  6.74147684e-06
 -0.00009389  6.81061250e-06
  0.00009389  6.81061250e-06
  0.00028168  6.74147684e-06
  0.00046946  6.60530382e-06
  0.00065724  6.40618426e-06
  0.00084503  6.14999736e-06
  0.00103281  5.84412247e-06
  0.00122060  5.49708640e-06
  0.00140838  5.11816985e-06
  0.00159616  4.71699809e-06
  0.00178395  4.30314106e-06
  0.00197173  3.88574539e-06
  0.00215952  3.47321745e-06
  0.00234730  3.07297116e-06
  0.00253508  2.69124893e-06
  0.00272287  2.33301822e-06
  0.00291065  2.00194097e-06
  0.00309844  1.70040856e-06
  0.00328622  1.42963170e-06
  0.00347400  1.18977252e-06
  0.00366179  9.80104933e-07
  0.00384957  7.99190092e-07
  0.00403735  6.45054610e-07
  0.00422514  5.15361238e-07
  0.00441292  4.07564074e-07
  0.00460071  3.19042775e-07
  0.00478849  2.47212718e-07
  0.00497627  1.89610149e-07
  0.00516406  1.43953168e-07
  0.00535184  1.08180691e-07
  0.00553963  8.04724360e-08
  0.00572741  5.92534201e-08
  0.00591519  4.31865561e-08
  0.00610298  3.11567822e-08
  0.00629076  2.22497687e-08
  0.00647855  1.57277747e-08
  0.00666633  1.10046930e-08
  0.00685411  7.62179845e-09
  0.00704190  5.22523546e-09
  0.00722968  3.54587275e-09
  0.00741747  2.38182200e-09
  0.00760525  1.58366871e-09
  0.00779303  1.04228921e-09
  0.00798082  6.79017594e-10
  0.00816860  4.37867475e-10
  0.00835639  2.79494472e-10
  0.00854417  1.76592654e-10
  0.00873195  1.10443693e-10
  0.00891974  6.83719686e-11
  0.00910752  4.18971154e-11
  0.00929531  2.54131815e-11

# Particle 3, r = 1.14715 AU, Hd = 1.941755e-03 AU, sigma_dust = 3.109100e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.00970877  2.38050645e-11
 -0.00951264  3.92459139e-11
 -0.00931650  6.40454687e-11
 -0.00912036  1.03454943e-10
 -0.00892423  1.65418073e-10
 -0.00872809  2.61808382e-10
 -0.00853195  4.10159723e-10
 -0.00833582  6.36050138e-10
 -0.00813968  9.76334345e-10
 -0.00794354  1.48345596e-09
 -0.00774740  2.23110303e-09
 -0.00755127  3.32149398e-09
 -0.00735513  4.89458854e-09
 -0.00715899  7.13949978e-09
 -0.00696286  1.03083286e-08
 -0.00676672  1.47325391e-08
 -0.00657058  2.08418288e-08
 -0.00637445  2.91852167e-08
 -0.00617831  4.04537603e-08
 -0.00598217  5.55039315e-08
 -0.00578604  7.53802324e-08
 -0.00558990  1.01335140e-07
 -0.00539376  1.34843976e-07
 -0.00519763  1.77611836e-07
 -0.00500149  2.31569380e-07
 -0.00480535  2.98854114e-07
 -0.00460922  3.81773886e-07
 -0.00441308  4.82749769e-07
 -0.00421694  6.04236293e-07
 -0.00402081  7.48618258e-07
 -0.00382467  9.18085015e-07
 -0.00362853  1.11448508e-06
 -0.00343239  1.33916624e-06
 -0.00323626  1.59280865e-06
 -0.00304012  1.87526044e-06
 -0.00284398  2.18538750e-06
 -0.00264785  2.52094978e-06
 -0.00245171  2.87851706e-06
 -0.00225557  3.25343623e-06
 -0.00205944  3.63985987e-06
 -0.00186330  4.03084322e-06
 -0.00166716  4.41851185e-06
 -0.00147103  4.79429792e-06
 -0.00127489  5.14923707e-06
 -0.00107875  5.47431309e-06
 -0.00088262  5.76083257e-06
 -0.00068648  6.00080826e-06
 -0.00049034  6.18732776e-06
 -0.00029421  6.31488391e-06
 -0.00009807  6.37964474e-06
  0.00009807  6.37964474e-06
  0.00029421  6.31488391e-06
  0.00049034  6.18732776e-06
  0.00068648  6.00080826e-06
  0.00088262  5.76083257e-06
  0.00107875  5.47431309e-06
  0.00127489  5.14923707e-06
  0.00147103  4.79429792e-06
  0.00166716  4.41851185e-06
  0.00186330  4.03084322e-06
  0.00205944  3.63985987e-06
  0.00225557  3.25343623e-06
  0.00245171  2.87851706e-06
  0.00264785  2.52094978e-06
  0.00284398  2.18538750e-06
  0.00304012  1.87526044e-06
  0.00323626  1.59280865e-06
  0.00343239  1.33916624e-06
  0.00362853  1.11448508e-06
  0.00382467  9.18085015e-07
  0.00402081  7.48618258e-07
  0.00421694  6.04236293e-07
  0.00441308  4.82749769e-07
  0.00460922  3.81773886e-07
  0.00480535  2.98854114e-07
  0.00500149  2.31569380e-07
  0.00519763  1.77611836e-07
  0.00539376  1.34843976e-07
  0.00558990  1.01335140e-07
  0.00578604  7.53802324e-08
  0.00598217  5.55039315e-08
  0.00617831  4.04537603e-08
  0.00637445  2.91852167e-08
  0.00657058  2.08418288e-08
  0.00676672  1.47325391e-08
  0.00696286  1.03083286e-08
  0.00715899  7.13949978e-09
  0.00735513  4.89458854e-09
  0.00755127  3.32149398e-09
  0.00774740  2.23110303e-09
  0.00794354  1.48345596e-09
  0.00813968  9.76334345e-10
  0.00833582  6.36050138e-10
  0.00853195  4.10159723e-10
  0.00872809  2.61808382e-10
  0.00892423  1.65418073e-10
  0.00912036  1.03454943e-10
  0.00931650  6.40454687e-11
  0.00951264  3.92459139e-11
  0.00970877  2.38050645e-11

# Particle 4, r = 1.19620 AU, Hd = 1.979651e-03 AU, sigma_dust = 3.044690e-08 g/cm^2
# z[AU]      rho[z][g/cm^2]
 -0.00989826  2.28656431e-11
 -0.00969829  3.76971489e-11
 -0.00949833  6.15180366e-11
 -0.00929836  9.93722911e-11
 -0.00909840  1.58890165e-10
 -0.00889843  2.51476614e-10
 -0.00869847  3.93973553e-10
 -0.00849850  6.10949634e-10
 -0.00829854  9.37805175e-10
 -0.00809857  1.42491421e-09
 -0.00789861  2.14305681e-09
 -0.00769864  3.19041757e-09
 -0.00749868  4.70143295e-09
 -0.00729871  6.85775305e-09
 -0.00709875  9.90153012e-09
 -0.00689878  1.41511476e-08
 -0.00669882  2.00193458e-08
 -0.00649885  2.80334779e-08
 -0.00629889  3.88573299e-08
 -0.00609892  5.33135748e-08
 -0.00589896  7.24054955e-08
 -0.00569900  9.73361427e-08
 -0.00549903  1.29522616e-07
 -0.00529907  1.70602724e-07
 -0.00509910  2.22430937e-07
 -0.00489914  2.87060407e-07
 -0.00469917  3.66707909e-07
 -0.00449921  4.63698972e-07
 -0.00429924  5.80391261e-07
 -0.00409928  7.19075468e-07
 -0.00389931  8.81854543e-07
 -0.00369935  1.07050405e-06
 -0.00349938  1.28631861e-06
 -0.00329942  1.52995150e-06
 -0.00309945  1.80125687e-06
 -0.00289949  2.09914536e-06
 -0.00269952  2.42146531e-06
 -0.00249956  2.76492188e-06
 -0.00229959  3.12504558e-06
 -0.00209963  3.49621975e-06
 -0.00189967  3.87177369e-06
 -0.00169970  4.24414372e-06
 -0.00149974  4.60510011e-06
 -0.00129977  4.94603226e-06
 -0.00109981  5.25827978e-06
 -0.00089984  5.53349231e-06
 -0.00069988  5.76399782e-06
 -0.00049991  5.94315669e-06
 -0.00029995  6.06567907e-06
 -0.00009998  6.12788424e-06
  0.00009998  6.12788424e-06
  0.00029995  6.06567907e-06
  0.00049991  5.94315669e-06
  0.00069988  5.76399782e-06
  0.00089984  5.53349231e-06
  0.00109981  5.25827978e-06
