index,radius_AU,mass,size
0,1.771576e+00,0.000000e+00,0.000000e+00
1,1.641603e-01,8.105274e-08,0.000000e+00
2,1.640756e-01,1.609891e-07,0.000000e+00
3,1.639025e-01,3.860355e-08,0.000000e+00
4,1.641437e-01,7.526809e-08,0.000000e+00
5,1.639215e-01,3.678321e-08,0.000000e+00
6,1.640228e-01,7.209838e-08,0.000000e+00
7,1.639863e-01,1.425808e-07,0.000000e+00
8,1.639187e-01,2.461270e-07,0.000000e+00
9,1.640968e-01,3.142438e-07,0.000000e+00
10,1.638811e-01,4.154909e-07,0.000000e+00
11,1.639024e-01,5.154289e-07,0.000000e+00
12,1.639021e-01,5.812129e-07,0.000000e+00
13,1.638614e-01,6.784770e-07,0.000000e+00
14,1.640480e-01,7.423046e-07,0.000000e+00
15,1.638868e-01,8.052704e-07,0.000000e+00
16,1.639644e-01,8.673275e-07,0.000000e+00
17,1.640051e-01,9.284285e-07,0.000000e+00
18,1.639774e-01,9.885367e-07,0.000000e+00
19,1.638947e-01,1.047612e-06,0.000000e+00
20,1.647041e-01,2.913615e-08,0.000000e+00
21,1.673581e-01,5.744363e-08,0.000000e+00
22,1.701247e-01,2.829606e-08,6.684587e-14
23,1.690473e-01,5.571451e-08,6.684587e-14
24,1.723834e-01,2.740419e-08,1.336917e-13
25,1.746925e-01,2.709513e-08,2.005376e-13
26,1.771486e-01,5.322963e-08,2.005376e-13
27,1.794955e-01,2.611871e-08,2.673835e-13
28,1.815878e-01,2.577529e-08,3.342294e-13
29,1.837568e-01,2.541994e-08,3.342294e-13
30,1.856389e-01,2.505478e-08,4.010752e-13
31,1.876216e-01,2.467551e-08,4.010752e-13
32,1.892807e-01,2.427769e-08,4.679211e-13
33,1.910274e-01,2.385513e-08,4.679211e-13
34,1.924771e-01,2.339677e-08,5.347670e-13
35,1.937676e-01,2.288427e-08,5.347670e-13
36,1.951766e-01,2.237838e-08,5.347670e-13
37,1.963508e-01,2.189868e-08,6.016128e-13
38,1.977256e-01,2.143841e-08,6.016128e-13
39,1.989906e-01,2.099272e-08,6.016128e-13
40,2.002498e-01,2.056149e-08,6.684587e-13
41,2.017118e-01,2.014933e-08,6.684587e-13
42,2.030606e-01,1.975637e-08,7.353046e-13
43,2.044108e-01,1.938741e-08,7.353046e-13
44,2.060046e-01,1.903985e-08,7.353046e-13
45,2.074487e-01,1.871291e-08,8.021505e-13
46,2.090901e-01,1.840519e-08,8.021505e-13
47,2.106136e-01,1.811522e-08,8.689963e-13
48,2.123318e-01,1.784129e-08,8.689963e-13
49,2.139817e-01,1.758222e-08,9.358422e-13
50,2.157668e-01,1.733631e-08,9.358422e-13
51,2.175484e-01,1.710152e-08,1.002688e-12
52,2.194611e-01,1.687789e-08,1.002688e-12
53,2.213764e-01,1.666430e-08,1.069534e-12
54,2.234671e-01,1.646000e-08,1.069534e-12
55,2.255586e-01,1.626400e-08,1.136380e-12
56,2.278472e-01,1.607634e-08,1.136380e-12
57,2.301760e-01,1.589552e-08,1.203226e-12
58,2.327389e-01,1.572204e-08,1.203226e-12
59,2.353696e-01,1.555470e-08,1.270072e-12
60,2.383169e-01,1.539326e-08,1.270072e-12
61,2.414715e-01,1.523766e-08,1.336917e-12
62,2.448560e-01,1.508755e-08,1.403763e-12
63,2.486457e-01,1.494224e-08,1.403763e-12
64,2.528298e-01,1.480179e-08,1.470609e-12
65,2.574623e-01,1.466578e-08,1.537455e-12
66,2.628067e-01,1.453390e-08,1.537455e-12
67,2.689073e-01,1.440618e-08,1.604301e-12
68,2.758625e-01,1.428229e-08,1.671147e-12
69,2.842457e-01,1.416197e-08,1.737993e-12
70,2.942031e-01,1.404510e-08,1.804839e-12
71,3.063044e-01,1.393157e-08,1.871684e-12
72,3.212642e-01,1.382105e-08,1.871684e-12
73,3.399483e-01,1.371364e-08,1.938530e-12
74,3.638416e-01,1.360899e-08,2.005376e-12
75,3.951864e-01,1.350703e-08,2.139068e-12
76,4.376058e-01,1.340774e-08,2.205914e-12
77,4.980244e-01,1.331096e-08,2.272760e-12
78,5.747308e-01,1.321651e-08,2.406451e-12
79,5.630501e-01,1.312435e-08,2.473297e-12
80,5.515150e-01,1.303436e-08,2.606989e-12
81,5.394073e-01,1.294652e-08,2.673835e-12
82,5.269350e-01,1.286072e-08,2.807527e-12
83,5.136535e-01,1.277685e-08,2.874372e-12
84,5.005350e-01,1.269482e-08,3.008064e-12
85,4.875510e-01,1.261464e-08,3.141756e-12
86,4.753298e-01,1.253617e-08,3.208602e-12
87,4.637708e-01,1.245937e-08,3.342294e-12
88,4.530707e-01,1.238420e-08,3.409139e-12
89,4.429768e-01,1.231054e-08,3.542831e-12
90,4.336616e-01,1.223844e-08,3.609677e-12
91,4.248241e-01,1.216777e-08,3.743369e-12
92,4.166098e-01,1.209846e-08,3.810215e-12
93,4.087715e-01,1.203051e-08,3.943906e-12
94,4.013877e-01,1.196385e-08,4.010752e-12
95,3.943190e-01,1.189847e-08,4.077598e-12
96,3.875752e-01,1.183431e-08,4.211290e-12
97,3.811931e-01,1.177133e-08,4.278136e-12
98,3.750260e-01,1.170952e-08,4.411828e-12
99,3.691172e-01,1.164881e-08,4.478673e-12
100,3.634805e-01,1.158912e-08,4.545519e-12
101,3.580240e-01,1.153053e-08,4.679211e-12
102,3.527948e-01,1.147292e-08,4.746057e-12
103,3.477222e-01,1.141633e-08,4.812903e-12
104,3.428269e-01,1.136066e-08,4.946594e-12
105,3.380986e-01,1.130594e-08,5.013440e-12
106,3.335561e-01,1.125211e-08,5.080286e-12
107,3.291318e-01,1.119914e-08,5.213978e-12
108,3.248447e-01,1.114704e-08,5.280824e-12
109,3.207133e-01,1.109576e-08,5.347670e-12
110,3.166864e-01,1.104530e-08,5.414516e-12
111,3.127770e-01,1.099562e-08,5.548207e-12
112,3.089779e-01,1.094666e-08,5.615053e-12
113,3.053115e-01,1.089847e-08,5.681899e-12
114,3.017263e-01,1.085100e-08,5.748745e-12
115,2.982358e-01,1.080424e-08,5.882437e-12
116,2.948404e-01,1.075814e-08,5.949283e-12
117,2.915538e-01,1.071272e-08,6.016128e-12
118,2.883330e-01,1.066796e-08,6.082974e-12
119,2.851944e-01,1.062382e-08,6.216666e-12
120,2.821345e-01,1.058032e-08,6.283512e-12
121,2.791656e-01,1.053739e-08,6.350358e-12
122,2.762540e-01,1.049507e-08,6.417204e-12
123,2.734105e-01,1.045333e-08,6.550895e-12
124,2.706343e-01,1.041215e-08,6.617741e-12
125,2.679220e-01,1.037152e-08,6.684587e-12
126,2.652868e-01,1.033143e-08,6.751433e-12
127,2.626965e-01,1.029185e-08,6.818279e-12
128,2.601641e-01,1.025279e-08,6.951971e-12
129,2.576863e-01,1.021423e-08,7.018816e-12
130,2.552614e-01,1.017616e-08,7.085662e-12
131,2.529013e-01,1.013858e-08,7.152508e-12
132,2.505783e-01,1.010147e-08,7.219354e-12
133,2.483047e-01,1.006480e-08,7.286200e-12
134,2.460765e-01,1.002857e-08,7.419892e-12
135,2.438923e-01,9.992801e-09,7.486738e-12
136,2.417519e-01,9.957453e-09,7.553583e-12
137,2.396640e-01,9.922527e-09,7.620429e-12
138,2.376072e-01,9.888016e-09,7.687275e-12
139,2.355895e-01,9.853908e-09,7.754121e-12
140,2.336098e-01,9.820182e-09,7.887813e-12
141,2.316675e-01,9.786851e-09,7.954659e-12
142,2.297606e-01,9.753903e-09,8.021505e-12
143,2.278969e-01,9.721321e-09,8.088350e-12
144,2.260595e-01,9.689110e-09,8.155196e-12
145,2.242544e-01,9.657258e-09,8.222042e-12
146,2.224819e-01,9.625759e-09,8.355734e-12
147,2.207393e-01,9.594603e-09,8.422580e-12
148,2.190273e-01,9.563778e-09,8.489426e-12
149,2.173444e-01,9.533290e-09,8.556272e-12
150,2.156978e-01,9.503124e-09,8.623117e-12
151,2.140718e-01,9.473272e-09,8.689963e-12
152,2.124727e-01,9.443735e-09,8.756809e-12
153,2.109001e-01,9.414508e-09,8.823655e-12
154,2.093527e-01,9.385576e-09,8.957347e-12
155,2.078294e-01,9.356950e-09,9.024193e-12
156,2.063309e-01,9.328615e-09,9.091038e-12
157,2.048562e-01,9.300565e-09,9.157884e-12
158,2.034111e-01,9.272797e-09,9.224730e-12
159,2.019820e-01,9.245305e-09,9.291576e-12
160,2.005747e-01,9.218076e-09,9.358422e-12
161,1.991891e-01,9.191115e-09,9.425268e-12
162,1.978238e-01,9.164414e-09,9.558960e-12
163,1.964794e-01,9.137972e-09,9.625805e-12
164,1.951542e-01,9.111787e-09,9.692651e-12
165,1.938486e-01,9.085849e-09,9.759497e-12
166,1.925674e-01,9.060156e-09,9.826343e-12
167,1.912998e-01,9.034707e-09,9.893189e-12
168,1.900503e-01,9.009504e-09,9.960035e-12
169,1.888183e-01,8.984519e-09,1.002688e-11
170,1.876034e-01,8.959766e-09,1.009373e-11
171,1.864055e-01,8.935239e-09,1.022742e-11
172,1.852241e-01,8.910931e-09,1.029426e-11
173,1.840588e-01,8.886839e-09,1.036111e-11
174,1.829097e-01,8.862962e-09,1.042796e-11
175,1.817757e-01,8.839304e-09,1.049480e-11
176,1.806613e-01,8.815853e-09,1.056165e-11
177,1.795572e-01,8.792608e-09,1.062849e-11
178,1.784680e-01,8.769572e-09,1.069534e-11
179,1.773929e-01,8.746725e-09,1.076219e-11
180,1.763316e-01,8.724073e-09,1.082903e-11
181,1.752841e-01,8.701617e-09,1.096272e-11
