# Generated by Dust Drift Simulation (Date: Jan 23 2026 08:54:11)
# Time: 5.504313e+03 years
#--------------------------------------------------------------------------
# Radius_AU       GasSurfDensity  GasPressure     GasPressureDeriv
#--------------------------------------------------------------------------
1.000000e+00    3.32421e-06     6.630831e-08      -7.622670e-08
1.049049e+00    3.24576e-06     5.883079e-08      -1.409996e-07
1.098098e+00    3.17225e-06     5.247651e-08      -1.202183e-07
1.147147e+00    3.10315e-06     4.703760e-08      -1.032171e-07
1.196196e+00    3.03801e-06     4.235111e-08      -8.919193e-08
1.245245e+00    2.97641e-06     3.828804e-08      -7.753320e-08
1.294294e+00    2.91797e-06     3.474525e-08      -6.777341e-08
1.343343e+00    2.86236e-06     3.163960e-08      -5.955033e-08
1.392392e+00    2.80927e-06     2.890348e-08      -5.258050e-08
1.441441e+00    2.7584e-06      2.648155e-08      -4.664004e-08
1.490490e+00    2.70949e-06     2.432818e-08      -4.155098e-08
1.539540e+00    2.66229e-06     2.240548e-08      -3.716924e-08
1.588589e+00    2.61658e-06     2.068195e-08      -3.337879e-08
1.637638e+00    2.57214e-06     1.913108e-08      -3.008557e-08
1.686687e+00    2.52879e-06     1.773061e-08      -2.721107e-08
1.735736e+00    2.48635e-06     1.646173e-08      -2.469045e-08
1.784785e+00    2.4447e-06      1.530852e-08      -2.246942e-08
1.833834e+00    2.40372e-06     1.425752e-08      -2.050213e-08
1.882883e+00    2.36336e-06     1.329730e-08      -1.874961e-08
1.931932e+00    2.32361e-06     1.241822e-08      -1.717852e-08
1.980981e+00    2.28451e-06     1.161212e-08      -1.576024e-08
2.030030e+00    2.24616e-06     1.087217e-08      -1.447017e-08
2.079079e+00    2.20876e-06     1.019263e-08      -1.328728e-08
2.128128e+00    2.17255e-06     9.568714e-09      -1.219380e-08
2.177177e+00    2.13785e-06     8.996440e-09      -1.117500e-08
2.226226e+00    2.10508e-06     8.472468e-09      -1.021911e-08
2.275275e+00    2.07467e-06     7.993964e-09      -9.317328e-09
2.324324e+00    2.04713e-06     7.558455e-09      -8.463770e-09
2.373373e+00    2.02296e-06     7.163684e-09      -7.655521e-09
2.422422e+00    2.00265e-06     6.807463e-09      -6.892591e-09
2.471471e+00    1.9866e-06      6.487534e-09      -6.177787e-09
2.520521e+00    1.97512e-06     6.201434e-09      -5.516532e-09
2.569570e+00    1.96831e-06     5.946373e-09      -4.916347e-09
2.618619e+00    1.96606e-06     5.719150e-09      -4.386097e-09
2.667668e+00    1.96796e-06     5.516105e-09      -3.935000e-09
2.716717e+00    1.97329e-06     5.333134e-09      -3.571142e-09
2.765766e+00    1.98101e-06     5.165783e-09      -3.299727e-09
2.814815e+00    1.9898e-06      5.009437e-09      -3.121172e-09
2.863864e+00    1.99814e-06     4.859602e-09      -3.029409e-09
2.912913e+00    2.00449e-06     4.712258e-09      -3.010918e-09
2.961962e+00    2.00746e-06     4.564237e-09      -3.045076e-09
3.011011e+00    2.006e-06       4.413542e-09      -3.106253e-09
3.060060e+00    1.99959e-06     4.259519e-09      -3.167588e-09
3.109109e+00    1.98826e-06     4.102807e-09      -3.205659e-09
3.158158e+00    1.97261e-06     3.945050e-09      -3.204633e-09
3.207207e+00    1.95359e-06     3.788439e-09      -3.158407e-09
3.256256e+00    1.93236e-06     3.635216e-09      -3.069993e-09
3.305305e+00    1.90998e-06     3.487278e-09      -2.948641e-09
3.354354e+00    1.88738e-06     3.345960e-09      -2.806100e-09
3.403403e+00    1.86519e-06     3.212005e-09      -2.653503e-09
3.452452e+00    1.84384e-06     3.085657e-09      -2.499517e-09
3.501502e+00    1.82355e-06     2.966807e-09      -2.350273e-09
3.550551e+00    1.8044e-06      2.855099e-09      -2.209215e-09
3.599600e+00    1.78638e-06     2.750088e-09      -2.077816e-09
3.648649e+00    1.76945e-06     2.651270e-09      -1.956631e-09
3.697698e+00    1.75351e-06     2.558146e-09      -1.845395e-09
3.746747e+00    1.73847e-06     2.470240e-09      -1.743525e-09
3.795796e+00    1.72424e-06     2.387109e-09      -1.650246e-09
3.844845e+00    1.71072e-06     2.308354e-09      -1.564640e-09
3.893894e+00    1.69784e-06     2.233621e-09      -1.485885e-09
3.942943e+00    1.68553e-06     2.162591e-09      -1.413239e-09
3.991992e+00    1.67371e-06     2.094985e-09      -1.346135e-09
4.041041e+00    1.66233e-06     2.030538e-09      -1.283883e-09
4.090090e+00    1.65135e-06     1.969039e-09      -1.225885e-09
4.139139e+00    1.64073e-06     1.910281e-09      -1.171963e-09
4.188188e+00    1.63042e-06     1.854071e-09      -1.121448e-09
4.237237e+00    1.6204e-06      1.800269e-09      -1.074001e-09
4.286286e+00    1.61065e-06     1.748714e-09      -1.029620e-09
4.335335e+00    1.60113e-06     1.699266e-09      -9.877615e-10
4.384384e+00    1.59184e-06     1.651816e-09      -9.481981e-10
4.433433e+00    1.58275e-06     1.606249e-09      -9.109328e-10
4.482482e+00    1.57385e-06     1.562456e-09      -8.756085e-10
4.531532e+00    1.56515e-06     1.520354e-09      -8.421575e-10
4.580581e+00    1.5566e-06      1.479841e-09      -8.105382e-10
4.629630e+00    1.54821e-06     1.440841e-09      -7.803605e-10
4.678679e+00    1.53998e-06     1.403290e-09      -7.516976e-10
4.727728e+00    1.53188e-06     1.367101e-09      -7.244557e-10
4.776777e+00    1.52393e-06     1.332222e-09      -6.984559e-10
4.825826e+00    1.51612e-06     1.298584e-09      -6.737920e-10
4.874875e+00    1.50842e-06     1.266124e-09      -6.502183e-10
