# Generated by Dust Drift Simulation (Date: Jan 23 2026 08:54:11)
# Time: 1.400638e+04 years
#--------------------------------------------------------------------------
# Radius_AU       GasSurfDensity  GasPressure     GasPressureDeriv
#--------------------------------------------------------------------------
1.000000e+00    3.30802e-06     6.598554e-08      -7.599429e-08
1.049049e+00    3.22922e-06     5.853104e-08      -1.406717e-07
1.098098e+00    3.15468e-06     5.218592e-08      -1.201320e-07
1.147147e+00    3.08394e-06     4.674632e-08      -1.033041e-07
1.196196e+00    3.01655e-06     4.205198e-08      -8.940689e-08
1.245245e+00    2.95213e-06     3.797567e-08      -7.784490e-08
1.294294e+00    2.89028e-06     3.441554e-08      -6.815938e-08
1.343343e+00    2.83068e-06     3.128937e-08      -5.999336e-08
1.392392e+00    2.773e-06       2.853031e-08      -5.306647e-08
1.441441e+00    2.71695e-06     2.608365e-08      -4.715655e-08
1.490490e+00    2.66229e-06     2.390434e-08      -4.208640e-08
1.539540e+00    2.60877e-06     2.195505e-08      -3.771226e-08
1.588589e+00    2.55622e-06     2.020484e-08      -3.391804e-08
1.637638e+00    2.50447e-06     1.862776e-08      -3.060955e-08
1.686687e+00    2.45341e-06     1.720210e-08      -2.770819e-08
1.735736e+00    2.40297e-06     1.590964e-08      -2.514918e-08
1.784785e+00    2.35311e-06     1.473501e-08      -2.287850e-08
1.833834e+00    2.30388e-06     1.366530e-08      -2.085093e-08
1.882883e+00    2.25535e-06     1.268958e-08      -1.902841e-08
1.931932e+00    2.20768e-06     1.179865e-08      -1.737887e-08
1.980981e+00    2.16108e-06     1.098474e-08      -1.587523e-08
2.030030e+00    2.11583e-06     1.024132e-08      -1.449465e-08
2.079079e+00    2.07228e-06     9.562846e-09      -1.321798e-08
2.128128e+00    2.03086e-06     8.944659e-09      -1.202928e-08
2.177177e+00    1.99203e-06     8.382797e-09      -1.091550e-08
2.226226e+00    1.95635e-06     7.873870e-09      -9.866228e-09
2.275275e+00    1.9244e-06      7.414938e-09      -8.873553e-09
2.324324e+00    1.8968e-06      7.003391e-09      -7.931936e-09
2.373373e+00    1.87419e-06     6.636830e-09      -7.038194e-09
2.422422e+00    1.85717e-06     6.312958e-09      -6.191505e-09
2.471471e+00    1.84633e-06     6.029456e-09      -5.393419e-09
2.520521e+00    1.84213e-06     5.783873e-09      -4.647960e-09
2.569570e+00    1.84488e-06     5.573500e-09      -3.961554e-09
2.618619e+00    1.85471e-06     5.395253e-09      -3.342888e-09
2.667668e+00    1.87144e-06     5.245569e-09      -2.802690e-09
2.716717e+00    1.89455e-06     5.120314e-09      -2.353076e-09
2.765766e+00    1.92309e-06     5.014736e-09      -2.006547e-09
2.814815e+00    1.95565e-06     4.923476e-09      -1.774439e-09
2.863864e+00    1.99035e-06     4.840667e-09      -1.664785e-09
2.912913e+00    2.02487e-06     4.760163e-09      -1.679679e-09
2.961962e+00    2.05657e-06     4.675894e-09      -1.812442e-09
3.011011e+00    2.08274e-06     4.582366e-09      -2.045234e-09
3.060060e+00    2.10086e-06     4.475260e-09      -2.348057e-09
3.109109e+00    2.10903e-06     4.352026e-09      -2.680258e-09
3.158158e+00    2.10625e-06     4.212332e-09      -2.995297e-09
3.207207e+00    2.0927e-06      4.058193e-09      -3.248594e-09
3.256256e+00    2.06973e-06     3.893651e-09      -3.406690e-09
3.305305e+00    2.03964e-06     3.724004e-09      -3.454578e-09
3.354354e+00    2.00516e-06     3.554764e-09      -3.397955e-09
3.403403e+00    1.96894e-06     3.390671e-09      -3.259064e-09
3.452452e+00    1.93311e-06     3.235056e-09      -3.067920e-09
3.501502e+00    1.8991e-06      3.089714e-09      -2.853597e-09
3.550551e+00    1.86761e-06     2.955123e-09      -2.637898e-09
3.599600e+00    1.8389e-06      2.830941e-09      -2.433867e-09
3.648649e+00    1.81289e-06     2.716366e-09      -2.247790e-09
3.697698e+00    1.78935e-06     2.610437e-09      -2.081301e-09
3.746747e+00    1.768e-06       2.512194e-09      -1.933626e-09
3.795796e+00    1.74854e-06     2.420752e-09      -1.802946e-09
3.844845e+00    1.73071e-06     2.335328e-09      -1.687108e-09
3.893894e+00    1.71428e-06     2.255250e-09      -1.584038e-09
3.942943e+00    1.69905e-06     2.179937e-09      -1.491890e-09
3.991992e+00    1.68483e-06     2.108898e-09      -1.409134e-09
4.041041e+00    1.67147e-06     2.041704e-09      -1.334352e-09
4.090090e+00    1.65887e-06     1.978001e-09      -1.266363e-09
4.139139e+00    1.64691e-06     1.917476e-09      -1.204393e-09
4.188188e+00    1.6355e-06      1.859852e-09      -1.147456e-09
4.237237e+00    1.62458e-06     1.804913e-09      -1.094888e-09
4.286286e+00    1.61409e-06     1.752446e-09      -1.046366e-09
4.335335e+00    1.60396e-06     1.702266e-09      -1.001206e-09
4.384384e+00    1.59416e-06     1.654229e-09      -9.590047e-10
4.433433e+00    1.58467e-06     1.608190e-09      -9.196096e-10
4.482482e+00    1.57543e-06     1.564017e-09      -8.825808e-10
4.531532e+00    1.56644e-06     1.521610e-09      -8.477650e-10
4.580581e+00    1.55766e-06     1.480853e-09      -8.150436e-10
4.629630e+00    1.54908e-06     1.441656e-09      -7.839865e-10
4.678679e+00    1.5407e-06      1.403946e-09      -7.546153e-10
4.727728e+00    1.53248e-06     1.367630e-09      -7.268020e-10
4.776777e+00    1.52442e-06     1.332648e-09      -7.003466e-10
4.825826e+00    1.51652e-06     1.298927e-09      -6.753125e-10
4.874875e+00    1.50875e-06     1.266401e-09      -6.514426e-10
4.923924e+00    1.50113e-06     1.235022e-09      -6.286549e-10
4.972973e+00    1.49363e-06     1.204731e-09      -6.069604e-10
5.022022e+00    1.48625e-06     1.175480e-09      -5.862148e-10
5.071071e+00    1.479e-06       1.147224e-09      -5.664365e-10
5.120120e+00    1.47185e-06     1.119914e-09      -5.475701e-10
5.169169e+00    1.46482e-06     1.093509e-09      -5.294887e-10
5.218218e+00    1.45789e-06     1.067972e-09      -5.121494e-10
5.267267e+00    1.45106e-06     1.043268e-09      -4.955834e-10
5.316316e+00    1.44433e-06     1.019356e-09      -4.797499e-10
5.365365e+00    1.4377e-06      9.962054e-10      -4.644736e-10
5.414414e+00    1.43116e-06     9.737922e-10      -4.498604e-10
5.463463e+00    1.42471e-06     9.520749e-10      -4.359483e-10
5.512513e+00    1.41834e-06     9.310265e-10      -4.224344e-10
5.561562e+00    1.41208e-06     9.106349e-10      -4.094895e-10
5.610611e+00    1.40588e-06     8.908564e-10      -3.970986e-10
5.659660e+00    1.39977e-06     8.716803e-10      -3.851652e-10
5.708709e+00    1.39374e-06     8.530724e-10      -3.737317e-10
5.757758e+00    1.38779e-06     8.350179e-10      -3.626535e-10
5.806807e+00    1.38191e-06     8.174968e-10      -3.520334e-10
5.855856e+00    1.37611e-06     8.004841e-10      -3.418512e-10
5.904905e+00    1.37038e-06     7.839618e-10      -3.320288e-10
5.953954e+00    1.36472e-06     7.679127e-10      -3.224954e-10
6.003003e+00    1.35914e-06     7.523256e-10      -3.133481e-10
6.052052e+00    1.35361e-06     7.371739e-10      -3.045725e-10
6.101101e+00    1.34816e-06     7.224477e-10      -2.960963e-10
6.150150e+00    1.34277e-06     7.081274e-10      -2.879083e-10
6.199199e+00    1.33745e-06     6.942044e-10      -2.799954e-10
6.248248e+00    1.33219e-06     6.806604e-10      -2.723983e-10
6.297297e+00    1.32699e-06     6.674826e-10      -2.650529e-10
6.346346e+00    1.32185e-06     6.546592e-10      -2.579488e-10
6.395395e+00    1.31677e-06     6.421784e-10      -2.510763e-10
6.444444e+00    1.31175e-06     6.300291e-10      -2.444269e-10
6.493493e+00    1.30679e-06     6.182006e-10      -2.380400e-10
6.542543e+00    1.30188e-06     6.066778e-10      -2.318557e-10
6.591592e+00    1.29703e-06     5.954560e-10      -2.258648e-10
6.640641e+00    1.29223e-06     5.845209e-10      -2.201091e-10
6.689690e+00    1.28748e-06     5.738637e-10      -2.144890e-10
6.738739e+00    1.28279e-06     5.634799e-10      -2.090858e-10
6.787788e+00    1.27814e-06     5.533527e-10      -2.038496e-10
6.836837e+00    1.27355e-06     5.434827e-10      -1.987303e-10
6.885886e+00    1.26901e-06     5.338577e-10      -1.938503e-10
6.934935e+00    1.26451e-06     5.244663e-10      -1.891175e-10
6.983984e+00    1.26006e-06     5.153056e-10      -1.844848e-10
7.033033e+00    1.25566e-06     5.063687e-10      -1.799898e-10
7.082082e+00    1.25131e-06     4.976490e-10      -1.756673e-10
7.131131e+00    1.247e-06       4.891361e-10      -1.715106e-10
7.180180e+00    1.24273e-06     4.808241e-10      -1.674362e-10
7.229229e+00    1.23851e-06     4.727109e-10      -1.634790e-10
7.278278e+00    1.23433e-06     4.647871e-10      -1.596733e-10
7.327327e+00    1.23019e-06     4.570473e-10      -1.559760e-10
7.376376e+00    1.22609e-06     4.494862e-10      -1.523829e-10
7.425425e+00    1.22203e-06     4.420988e-10      -1.488551e-10
7.474474e+00    1.21802e-06     4.348838e-10      -1.454623e-10
7.523524e+00    1.21404e-06     4.278292e-10      -1.421983e-10
7.572573e+00    1.2101e-06      4.209344e-10      -1.389882e-10
7.621622e+00    1.2062e-06      4.141948e-10      -1.358673e-10
7.670671e+00    1.20234e-06     4.076061e-10      -1.328648e-10
7.719720e+00    1.19851e-06     4.011610e-10      -1.299111e-10
7.768769e+00    1.19473e-06     3.948620e-10      -1.270689e-10
7.817818e+00    1.19097e-06     3.886958e-10      -1.243359e-10
7.866867e+00    1.18725e-06     3.826649e-10      -1.216109e-10
7.915916e+00    1.18357e-06     3.767660e-10      -1.189894e-10
7.964965e+00    1.17992e-06     3.709923e-10      -1.164682e-10
8.014014e+00    1.1763e-06      3.653406e-10      -1.139819e-10
8.063063e+00    1.17272e-06     3.598109e-10      -1.115597e-10
8.112112e+00    1.16917e-06     3.543968e-10      -1.092305e-10
8.161161e+00    1.16565e-06     3.490956e-10      -1.069607e-10
8.210210e+00    1.16216e-06     3.439042e-10      -1.047194e-10
8.259259e+00    1.15871e-06     3.388228e-10      -1.025635e-10
8.308308e+00    1.15528e-06     3.338429e-10      -1.004626e-10
8.357357e+00    1.15189e-06     3.289676e-10      -9.841347e-11
8.406406e+00    1.14852e-06     3.241888e-10      -9.641595e-11
8.455455e+00    1.14519e-06     3.195094e-10      -9.446814e-11
8.504505e+00    1.14188e-06     3.149216e-10      -9.259523e-11
8.553554e+00    1.1386e-06      3.104260e-10      -9.073997e-11
8.602603e+00    1.13535e-06     3.060202e-10      -8.893061e-11
8.651652e+00    1.13213e-06     3.017021e-10      -8.719148e-11
8.700701e+00    1.12893e-06     2.974669e-10      -8.549428e-11
8.749750e+00    1.12576e-06     2.933152e-10      -8.381157e-11
8.798799e+00    1.12262e-06     2.892451e-10      -8.219434e-11
8.847848e+00    1.1195e-06      2.852521e-10      -8.061551e-11
8.896897e+00    1.11641e-06     2.813369e-10      -7.904864e-11
8.945946e+00    1.11335e-06     2.774976e-10      -7.754331e-11
8.994995e+00    1.11031e-06     2.737300e-10      -7.609765e-11
9.044044e+00    1.10729e-06     2.700326e-10      -7.466098e-11
9.093093e+00    1.1043e-06      2.664059e-10      -7.323336e-11
9.142142e+00    1.10134e-06     2.628485e-10      -7.188558e-11
9.191191e+00    1.09839e-06     2.593541e-10      -7.054574e-11
9.240240e+00    1.09548e-06     2.559281e-10      -6.923553e-11
9.289289e+00    1.09258e-06     2.525622e-10      -6.797834e-11
