# Generated by Dust Drift Simulation (Date: Jan 23 2026 08:54:11)
# Time: 1.050298e+04 years
#--------------------------------------------------------------------------
# Radius_AU       GasSurfDensity  GasPressure     GasPressureDeriv
#--------------------------------------------------------------------------
1.000000e+00    3.31631e-06     6.615076e-08      -7.611680e-08
1.049049e+00    3.23767e-06     5.868414e-08      -1.408494e-07
1.098098e+00    3.16361e-06     5.233370e-08      -1.201919e-07
1.147147e+00    3.09365e-06     4.689354e-08      -1.032816e-07
1.196196e+00    3.02731e-06     4.220197e-08      -8.932612e-08
1.245245e+00    2.96419e-06     3.813081e-08      -7.772268e-08
1.294294e+00    2.90389e-06     3.457752e-08      -6.800796e-08
1.343343e+00    2.84606e-06     3.145936e-08      -5.982211e-08
1.392392e+00    2.79037e-06     2.870909e-08      -5.288295e-08
1.441441e+00    2.73653e-06     2.627165e-08      -4.696717e-08
1.490490e+00    2.68427e-06     2.410170e-08      -4.189685e-08
1.539540e+00    2.63332e-06     2.216164e-08      -3.752771e-08
1.588589e+00    2.58348e-06     2.042030e-08      -3.374331e-08
1.637638e+00    2.53455e-06     1.885149e-08      -3.044910e-08
1.686687e+00    2.48639e-06     1.743330e-08      -2.756612e-08
1.735736e+00    2.43886e-06     1.614731e-08      -2.502913e-08
1.784785e+00    2.39191e-06     1.497799e-08      -2.278364e-08
1.833834e+00    2.34551e-06     1.391227e-08      -2.078384e-08
1.882883e+00    2.2997e-06      1.293913e-08      -1.899104e-08
1.931932e+00    2.25458e-06     1.204929e-08      -1.737249e-08
1.980981e+00    2.2103e-06      1.123493e-08      -1.590039e-08
2.030030e+00    2.1671e-06      1.048949e-08      -1.455126e-08
2.079079e+00    2.12529e-06     9.807476e-09      -1.330530e-08
2.128128e+00    2.08526e-06     9.184266e-09      -1.214606e-08
2.177177e+00    2.04744e-06     8.615971e-09      -1.106010e-08
2.226226e+00    2.01236e-06     8.099292e-09      -1.003680e-08
2.275275e+00    1.98057e-06     7.631380e-09      -9.068238e-09
2.324324e+00    1.95268e-06     7.209715e-09      -8.149084e-09
2.373373e+00    1.92929e-06     6.831971e-09      -7.276588e-09
2.422422e+00    1.91099e-06     6.495895e-09      -6.450568e-09
2.471471e+00    1.8983e-06      6.199182e-09      -5.673379e-09
2.520521e+00    1.89164e-06     5.939348e-09      -4.949933e-09
2.569570e+00    1.89126e-06     5.713603e-09      -4.287497e-09
2.618619e+00    1.89717e-06     5.518752e-09      -3.695376e-09
2.667668e+00    1.90909e-06     5.351094e-09      -3.184441e-09
2.716717e+00    1.92639e-06     5.206365e-09      -2.766170e-09
2.765766e+00    1.94801e-06     5.079738e-09      -2.451309e-09
2.814815e+00    1.9725e-06      4.965896e-09      -2.248009e-09
2.863864e+00    1.99798e-06     4.859212e-09      -2.159533e-09
2.912913e+00    2.02227e-06     4.754050e-09      -2.181792e-09
2.961962e+00    2.04306e-06     4.645183e-09      -2.301223e-09
3.011011e+00    2.05817e-06     4.528304e-09      -2.493800e-09
3.060060e+00    2.06579e-06     4.400546e-09      -2.726087e-09
3.109109e+00    2.06486e-06     4.260880e-09      -2.958980e-09
3.158158e+00    2.05522e-06     4.110275e-09      -3.153995e-09
3.207207e+00    2.03767e-06     3.951480e-09      -3.280730e-09
3.256256e+00    2.01381e-06     3.788442e-09      -3.323043e-09
3.305305e+00    1.98569e-06     3.625495e-09      -3.281376e-09
3.354354e+00    1.9554e-06      3.466545e-09      -3.170121e-09
3.403403e+00    1.92471e-06     3.314513e-09      -3.011294e-09
3.452452e+00    1.89492e-06     3.171143e-09      -2.827429e-09
3.501502e+00    1.86679e-06     3.037147e-09      -2.637040e-09
3.550551e+00    1.84065e-06     2.912455e-09      -2.452329e-09
3.599600e+00    1.81658e-06     2.796578e-09      -2.279787e-09
3.648649e+00    1.7945e-06      2.688812e-09      -2.122254e-09
3.697698e+00    1.77424e-06     2.588389e-09      -1.980107e-09
3.746747e+00    1.75559e-06     2.494567e-09      -1.852518e-09
3.795796e+00    1.73836e-06     2.406661e-09      -1.738124e-09
3.844845e+00    1.72236e-06     2.324060e-09      -1.635359e-09
3.893894e+00    1.70743e-06     2.246235e-09      -1.542729e-09
3.942943e+00    1.69342e-06     2.172722e-09      -1.458903e-09
3.991992e+00    1.68021e-06     2.103120e-09      -1.382788e-09
4.041041e+00    1.66768e-06     2.037073e-09      -1.313297e-09
4.090090e+00    1.65575e-06     1.974288e-09      -1.249513e-09
4.139139e+00    1.64435e-06     1.914498e-09      -1.190915e-09
4.188188e+00    1.6334e-06      1.857461e-09      -1.136663e-09
4.237237e+00    1.62285e-06     1.802993e-09      -1.086231e-09
4.286286e+00    1.61267e-06     1.750904e-09      -1.039431e-09
4.335335e+00    1.60279e-06     1.701027e-09      -9.956435e-10
4.384384e+00    1.5932e-06      1.653233e-09      -9.545368e-10
4.433433e+00    1.58388e-06     1.607389e-09      -9.160242e-10
4.482482e+00    1.57478e-06     1.563373e-09      -8.797011e-10
4.531532e+00    1.56591e-06     1.521092e-09      -8.454500e-10
4.580581e+00    1.55722e-06     1.480436e-09      -8.131841e-10
4.629630e+00    1.54872e-06     1.441320e-09      -7.824903e-10
4.678679e+00    1.5404e-06      1.403675e-09      -7.534117e-10
4.727728e+00    1.53223e-06     1.367412e-09      -7.258343e-10
4.776777e+00    1.52422e-06     1.332472e-09      -6.995669e-10
4.825826e+00    1.51635e-06     1.298786e-09      -6.746855e-10
4.874875e+00    1.50862e-06     1.266287e-09      -6.509378e-10
4.923924e+00    1.50101e-06     1.234930e-09      -6.282480e-10
4.972973e+00    1.49354e-06     1.204657e-09      -6.066328e-10
5.022022e+00    1.48618e-06     1.175420e-09      -5.859507e-10
5.071071e+00    1.47894e-06     1.147176e-09      -5.662236e-10
5.120120e+00    1.4718e-06      1.119875e-09      -5.473987e-10
5.169169e+00    1.46478e-06     1.093477e-09      -5.293505e-10
5.218218e+00    1.45785e-06     1.067947e-09      -5.120378e-10
5.267267e+00    1.45104e-06     1.043247e-09      -4.954933e-10
5.316316e+00    1.44431e-06     1.019340e-09      -4.796776e-10
5.365365e+00    1.43768e-06     9.961920e-10      -4.644150e-10
5.414414e+00    1.43115e-06     9.737815e-10      -4.498130e-10
5.463463e+00    1.4247e-06      9.520662e-10      -4.359105e-10
5.512513e+00    1.41833e-06     9.310195e-10      -4.224036e-10
5.561562e+00    1.41207e-06     9.106292e-10      -4.094645e-10
5.610611e+00    1.40587e-06     8.908518e-10      -3.970786e-10
5.659660e+00    1.39977e-06     8.716766e-10      -3.851489e-10
5.708709e+00    1.39373e-06     8.530694e-10      -3.737187e-10
5.757758e+00    1.38778e-06     8.350155e-10      -3.626429e-10
5.806807e+00    1.38191e-06     8.174948e-10      -3.520248e-10
5.855856e+00    1.37611e-06     8.004825e-10      -3.418444e-10
5.904905e+00    1.37038e-06     7.839605e-10      -3.320234e-10
5.953954e+00    1.36472e-06     7.679117e-10      -3.224908e-10
6.003003e+00    1.35913e-06     7.523248e-10      -3.133444e-10
6.052052e+00    1.35361e-06     7.371732e-10      -3.045696e-10
6.101101e+00    1.34816e-06     7.224471e-10      -2.960939e-10
6.150150e+00    1.34277e-06     7.081269e-10      -2.879064e-10
6.199199e+00    1.33745e-06     6.942040e-10      -2.799938e-10
6.248248e+00    1.33219e-06     6.806601e-10      -2.723970e-10
6.297297e+00    1.32699e-06     6.674824e-10      -2.650519e-10
6.346346e+00    1.32185e-06     6.546590e-10      -2.579479e-10
6.395395e+00    1.31677e-06     6.421782e-10      -2.510757e-10
6.444444e+00    1.31175e-06     6.300289e-10      -2.444262e-10
6.493493e+00    1.30679e-06     6.182005e-10      -2.380396e-10
6.542543e+00    1.30188e-06     6.066777e-10      -2.318554e-10
6.591592e+00    1.29703e-06     5.954559e-10      -2.258644e-10
6.640641e+00    1.29223e-06     5.845208e-10      -2.201090e-10
6.689690e+00    1.28748e-06     5.738636e-10      -2.144888e-10
6.738739e+00    1.28279e-06     5.634799e-10      -2.090856e-10
6.787788e+00    1.27814e-06     5.533527e-10      -2.038496e-10
6.836837e+00    1.27355e-06     5.434826e-10      -1.987300e-10
6.885886e+00    1.26901e-06     5.338577e-10      -1.938502e-10
6.934935e+00    1.26451e-06     5.244663e-10      -1.891176e-10
