# Generated by Dust Drift Simulation (Date: Jan 23 2026 08:54:11)
# Time: 3.004979e+03 years
#--------------------------------------------------------------------------
# Radius_AU       GasSurfDensity  GasPressure     GasPressureDeriv
#--------------------------------------------------------------------------
1.000000e+00    3.32693e-06     6.636273e-08      -7.626806e-08
1.049049e+00    3.24853e-06     5.888112e-08      -1.410591e-07
1.098098e+00    3.17518e-06     5.252510e-08      -1.202349e-07
1.147147e+00    3.10637e-06     4.708630e-08      -1.031985e-07
1.196196e+00    3.04163e-06     4.240152e-08      -8.914332e-08
1.245245e+00    2.98057e-06     3.834151e-08      -7.745828e-08
1.294294e+00    2.92282e-06     3.480301e-08      -6.767506e-08
1.343343e+00    2.86807e-06     3.170272e-08      -5.943074e-08
1.392392e+00    2.81602e-06     2.897297e-08      -5.244132e-08
1.441441e+00    2.7664e-06      2.655833e-08      -4.648254e-08
1.490490e+00    2.71895e-06     2.441312e-08      -4.137623e-08
1.539540e+00    2.67345e-06     2.249940e-08      -3.697836e-08
1.588589e+00    2.6297e-06      2.078561e-08      -3.317316e-08
1.637638e+00    2.58748e-06     1.924517e-08      -2.986709e-08
1.686687e+00    2.54663e-06     1.785571e-08      -2.698230e-08
1.735736e+00    2.50697e-06     1.659826e-08      -2.445477e-08
1.784785e+00    2.46837e-06     1.545674e-08      -2.223105e-08
1.833834e+00    2.43068e-06     1.441744e-08      -2.026620e-08
1.882883e+00    2.39382e-06     1.346866e-08      -1.852205e-08
1.931932e+00    2.35771e-06     1.260046e-08      -1.696593e-08
1.980981e+00    2.32232e-06     1.180434e-08      -1.556965e-08
2.030030e+00    2.28767e-06     1.107311e-08      -1.430882e-08
2.079079e+00    2.25384e-06     1.040067e-08      -1.316226e-08
2.128128e+00    2.22095e-06     9.781912e-09      -1.211176e-08
2.177177e+00    2.1892e-06      9.212530e-09      -1.114187e-08
2.226226e+00    2.15886e-06     8.688916e-09      -1.023986e-08
2.275275e+00    2.13023e-06     8.208019e-09      -9.395827e-09
2.324324e+00    2.10367e-06     7.767204e-09      -8.602705e-09
2.373373e+00    2.07956e-06     7.364110e-09      -7.856401e-09
