# Generated by Dust Drift Simulation (Date: Jan 23 2026 08:54:11)
# Time: 1.350074e+04 years
#--------------------------------------------------------------------------
# Radius_AU       GasSurfDensity  GasPressure     GasPressureDeriv
#--------------------------------------------------------------------------
1.000000e+00    3.30938e-06     6.601266e-08      -7.601506e-08
1.049049e+00    3.2306e-06      5.855611e-08      -1.407027e-07
1.098098e+00    3.15614e-06     5.221000e-08      -1.201445e-07
1.147147e+00    3.08551e-06     4.677016e-08      -1.033038e-07
1.196196e+00    3.01828e-06     4.207609e-08      -8.939765e-08
1.245245e+00    2.95405e-06     3.800042e-08      -7.782952e-08
1.294294e+00    2.89244e-06     3.444117e-08      -6.813988e-08
1.343343e+00    2.83309e-06     3.131603e-08      -5.997126e-08
1.392392e+00    2.7757e-06      2.855810e-08      -5.304298e-08
1.441441e+00    2.71997e-06     2.611261e-08      -4.713265e-08
1.490490e+00    2.66564e-06     2.393448e-08      -4.206295e-08
1.539540e+00    2.61249e-06     2.198632e-08      -3.768999e-08
1.588589e+00    2.56031e-06     2.023716e-08      -3.389760e-08
1.637638e+00    2.50895e-06     1.866103e-08      -3.059152e-08
1.686687e+00    2.45827e-06     1.723619e-08      -2.769307e-08
1.735736e+00    2.40821e-06     1.594439e-08      -2.513738e-08
1.784785e+00    2.35874e-06     1.477026e-08      -2.287036e-08
1.833834e+00    2.30987e-06     1.370085e-08      -2.084669e-08
1.882883e+00    2.26169e-06     1.272524e-08      -1.902823e-08
1.931932e+00    2.21433e-06     1.183422e-08      -1.738281e-08
1.980981e+00    2.16802e-06     1.102002e-08      -1.588325e-08
2.030030e+00    2.12302e-06     1.027610e-08      -1.450664e-08
2.079079e+00    2.07967e-06     9.596945e-09      -1.323376e-08
2.128128e+00    2.0384e-06      8.977895e-09      -1.204860e-08
2.177177e+00    1.99968e-06     8.415001e-09      -1.093808e-08
2.226226e+00    1.96406e-06     7.904890e-09      -9.891790e-09
2.275275e+00    1.93211e-06     7.444635e-09      -8.901817e-09
2.324324e+00    1.90445e-06     7.031639e-09      -7.962671e-09
2.373373e+00    1.88172e-06     6.663512e-09      -7.071241e-09
2.422422e+00    1.86453e-06     6.337963e-09      -6.226801e-09
2.471471e+00    1.85344e-06     6.052675e-09      -5.431024e-09
2.520521e+00    1.84892e-06     5.805190e-09      -4.688066e-09
2.569570e+00    1.85127e-06     5.592785e-09      -4.004481e-09
2.618619e+00    1.86059e-06     5.412358e-09      -3.389063e-09
2.667668e+00    1.8767e-06      5.260324e-09      -2.852589e-09
2.716717e+00    1.89906e-06     5.132525e-09      -2.407133e-09
2.765766e+00    1.92671e-06     5.024189e-09      -2.065014e-09
2.814815e+00    1.95822e-06     4.929951e-09      -1.837194e-09
2.863864e+00    1.99171e-06     4.843964e-09      -1.731118e-09
2.912913e+00    2.02485e-06     4.760131e-09      -1.748064e-09
2.961962e+00    2.05507e-06     4.672482e-09      -1.880388e-09
3.011011e+00    2.07969e-06     4.575669e-09      -2.109280e-09
3.060060e+00    2.09631e-06     4.465565e-09      -2.404034e-09
3.109109e+00    2.10313e-06     4.339838e-09      -2.723873e-09
3.158158e+00    2.09926e-06     4.198359e-09      -3.023009e-09
3.207207e+00    2.08501e-06     4.043286e-09      -3.258571e-09
3.256256e+00    2.06178e-06     3.878699e-09      -3.399500e-09
3.305305e+00    2.03186e-06     3.709802e-09      -3.433234e-09
3.354354e+00    1.9979e-06      3.541905e-09      -3.367177e-09
3.403403e+00    1.96245e-06     3.379488e-09      -3.224022e-09
3.452452e+00    1.92748e-06     3.225635e-09      -3.032993e-09
3.501502e+00    1.89433e-06     3.081957e-09      -2.821679e-09
3.550551e+00    1.86364e-06     2.948834e-09      -2.610363e-09
3.599600e+00    1.83562e-06     2.825886e-09      -2.410969e-09
3.648649e+00    1.81019e-06     2.712322e-09      -2.229162e-09
3.697698e+00    1.78714e-06     2.607209e-09      -2.066329e-09
3.746747e+00    1.76619e-06     2.509619e-09      -1.921665e-09
3.795796e+00    1.74706e-06     2.418697e-09      -1.793416e-09
3.844845e+00    1.7295e-06      2.333688e-09      -1.679523e-09
3.893894e+00    1.71329e-06     2.253940e-09      -1.577998e-09
3.942943e+00    1.69823e-06     2.178890e-09      -1.487077e-09
3.991992e+00    1.68416e-06     2.108060e-09      -1.405297e-09
4.041041e+00    1.67092e-06     2.041033e-09      -1.331290e-09
4.090090e+00    1.65842e-06     1.977463e-09      -1.263916e-09
4.139139e+00    1.64654e-06     1.917045e-09      -1.202437e-09
4.188188e+00    1.6352e-06      1.859506e-09      -1.145891e-09
4.237237e+00    1.62433e-06     1.804635e-09      -1.093634e-09
4.286286e+00    1.61388e-06     1.752223e-09      -1.045362e-09
4.335335e+00    1.60379e-06     1.702087e-09      -1.000401e-09
4.384384e+00    1.59402e-06     1.654085e-09      -9.583586e-10
4.433433e+00    1.58455e-06     1.608074e-09      -9.190913e-10
4.482482e+00    1.57533e-06     1.563924e-09      -8.821646e-10
4.531532e+00    1.56636e-06     1.521535e-09      -8.474305e-10
4.580581e+00    1.5576e-06      1.480793e-09      -8.147750e-10
4.629630e+00    1.54903e-06     1.441608e-09      -7.837704e-10
4.678679e+00    1.54065e-06     1.403906e-09      -7.544414e-10
4.727728e+00    1.53244e-06     1.367598e-09      -7.266622e-10
4.776777e+00    1.52439e-06     1.332622e-09      -7.002340e-10
4.825826e+00    1.5165e-06      1.298907e-09      -6.752219e-10
4.874875e+00    1.50873e-06     1.266384e-09      -6.513697e-10
4.923924e+00    1.50111e-06     1.235009e-09      -6.285961e-10
4.972973e+00    1.49361e-06     1.204720e-09      -6.069131e-10
5.022022e+00    1.48624e-06     1.175472e-09      -5.861767e-10
5.071071e+00    1.47899e-06     1.147217e-09      -5.664058e-10
5.120120e+00    1.47185e-06     1.119908e-09      -5.475453e-10
5.169169e+00    1.46481e-06     1.093504e-09      -5.294688e-10
5.218218e+00    1.45788e-06     1.067968e-09      -5.121332e-10
5.267267e+00    1.45106e-06     1.043265e-09      -4.955704e-10
5.316316e+00    1.44433e-06     1.019354e-09      -4.797395e-10
5.365365e+00    1.43769e-06     9.962034e-10      -4.644651e-10
5.414414e+00    1.43116e-06     9.737907e-10      -4.498536e-10
5.463463e+00    1.42471e-06     9.520737e-10      -4.359429e-10
5.512513e+00    1.41834e-06     9.310255e-10      -4.224300e-10
5.561562e+00    1.41207e-06     9.106341e-10      -4.094859e-10
5.610611e+00    1.40588e-06     8.908557e-10      -3.970957e-10
5.659660e+00    1.39977e-06     8.716797e-10      -3.851628e-10
5.708709e+00    1.39374e-06     8.530720e-10      -3.737298e-10
5.757758e+00    1.38779e-06     8.350176e-10      -3.626520e-10
5.806807e+00    1.38191e-06     8.174965e-10      -3.520321e-10
5.855856e+00    1.37611e-06     8.004839e-10      -3.418502e-10
5.904905e+00    1.37038e-06     7.839616e-10      -3.320280e-10
5.953954e+00    1.36472e-06     7.679126e-10      -3.224947e-10
6.003003e+00    1.35914e-06     7.523255e-10      -3.133476e-10
6.052052e+00    1.35361e-06     7.371738e-10      -3.045721e-10
6.101101e+00    1.34816e-06     7.224476e-10      -2.960959e-10
6.150150e+00    1.34277e-06     7.081273e-10      -2.879080e-10
6.199199e+00    1.33745e-06     6.942043e-10      -2.799952e-10
6.248248e+00    1.33219e-06     6.806603e-10      -2.723981e-10
6.297297e+00    1.32699e-06     6.674826e-10      -2.650527e-10
6.346346e+00    1.32185e-06     6.546591e-10      -2.579486e-10
6.395395e+00    1.31677e-06     6.421783e-10      -2.510762e-10
6.444444e+00    1.31175e-06     6.300290e-10      -2.444268e-10
6.493493e+00    1.30679e-06     6.182005e-10      -2.380399e-10
6.542543e+00    1.30188e-06     6.066778e-10      -2.318556e-10
6.591592e+00    1.29703e-06     5.954559e-10      -2.258647e-10
6.640641e+00    1.29223e-06     5.845209e-10      -2.201091e-10
6.689690e+00    1.28748e-06     5.738637e-10      -2.144890e-10
6.738739e+00    1.28279e-06     5.634799e-10      -2.090857e-10
6.787788e+00    1.27814e-06     5.533527e-10      -2.038496e-10
6.836837e+00    1.27355e-06     5.434827e-10      -1.987303e-10
6.885886e+00    1.26901e-06     5.338577e-10      -1.938503e-10
6.934935e+00    1.26451e-06     5.244663e-10      -1.891175e-10
6.983984e+00    1.26006e-06     5.153056e-10      -1.844848e-10
7.033033e+00    1.25566e-06     5.063687e-10      -1.799898e-10
7.082082e+00    1.25131e-06     4.976490e-10      -1.756672e-10
7.131131e+00    1.247e-06       4.891361e-10      -1.715106e-10
7.180180e+00    1.24273e-06     4.808241e-10      -1.674362e-10
7.229229e+00    1.23851e-06     4.727109e-10      -1.634790e-10
7.278278e+00    1.23433e-06     4.647871e-10      -1.596733e-10
7.327327e+00    1.23019e-06     4.570473e-10      -1.559760e-10
7.376376e+00    1.22609e-06     4.494862e-10      -1.523829e-10
7.425425e+00    1.22203e-06     4.420988e-10      -1.488551e-10
7.474474e+00    1.21802e-06     4.348838e-10      -1.454623e-10
7.523524e+00    1.21404e-06     4.278292e-10      -1.421983e-10
7.572573e+00    1.2101e-06      4.209344e-10      -1.389882e-10
7.621622e+00    1.2062e-06      4.141948e-10      -1.358672e-10
7.670671e+00    1.20234e-06     4.076061e-10      -1.328648e-10
7.719720e+00    1.19851e-06     4.011610e-10      -1.299111e-10
7.768769e+00    1.19473e-06     3.948620e-10      -1.270689e-10
7.817818e+00    1.19097e-06     3.886958e-10      -1.243360e-10
7.866867e+00    1.18725e-06     3.826649e-10      -1.216109e-10
7.915916e+00    1.18357e-06     3.767660e-10      -1.189894e-10
7.964965e+00    1.17992e-06     3.709923e-10      -1.164682e-10
8.014014e+00    1.1763e-06      3.653406e-10      -1.139819e-10
8.063063e+00    1.17272e-06     3.598109e-10      -1.115597e-10
8.112112e+00    1.16917e-06     3.543968e-10      -1.092305e-10
8.161161e+00    1.16565e-06     3.490956e-10      -1.069607e-10
8.210210e+00    1.16216e-06     3.439042e-10      -1.047194e-10
8.259259e+00    1.15871e-06     3.388228e-10      -1.025635e-10
8.308308e+00    1.15528e-06     3.338429e-10      -1.004626e-10
8.357357e+00    1.15189e-06     3.289676e-10      -9.841347e-11
8.406406e+00    1.14852e-06     3.241888e-10      -9.641595e-11
8.455455e+00    1.14519e-06     3.195094e-10      -9.446813e-11
8.504505e+00    1.14188e-06     3.149216e-10      -9.259524e-11
8.553554e+00    1.1386e-06      3.104260e-10      -9.073997e-11
8.602603e+00    1.13535e-06     3.060202e-10      -8.893060e-11
8.651652e+00    1.13213e-06     3.017021e-10      -8.719148e-11
8.700701e+00    1.12893e-06     2.974669e-10      -8.549429e-11
8.749750e+00    1.12576e-06     2.933152e-10      -8.381157e-11
8.798799e+00    1.12262e-06     2.892451e-10      -8.219434e-11
8.847848e+00    1.1195e-06      2.852521e-10      -8.061552e-11
8.896897e+00    1.11641e-06     2.813369e-10      -7.904864e-11
