1.04905 343.106
1.0981 162.314
1.14715 289.53
1.1962 305.486
1.24524 312.931
1.29429 328.493
1.34334 336.481
1.39239 351.727
1.44144 360.128
1.49049 375.131
1.53954 380.226
1.58859 392.279
1.63764 404.34
1.68669 413.798
1.73574 428.503
1.78479 440.596
1.83383 452.725
1.88288 462.589
1.93193 477.013
1.98098 489.169
2.03003 506.137
2.07908 518.258
2.12813 528.387
2.17718 542.477
2.22623 554.663
2.27528 566.861
2.32432 579.147
2.37337 589.698
2.42242 603.68
2.47147 616.127
2.52052 623.098
2.56957 637.166
2.61862 649.675
2.66767 662.149
2.71672 674.549
2.76577 685.527
2.81481 699.356
2.86386 711.674
2.91291 723.993
2.96196 736.323
3.01101 751.769
3.06006 763.976
3.10911 776.144
3.15816 788.473
3.20721 800.781
3.25626 813.176
3.30531 825.547
3.35435 837.848
3.4034 850.413
3.45245 862.791
3.5015 872.684
3.55055 885.19
3.5996 897.771
3.64865 910.339
3.6977 922.975
3.74675 935.592
3.7958 948.177
3.84484 960.804
3.89389 973.478
3.94294 986.19
3.99199 998.851
4.04104 1012.88
4.09009 1026.46
4.13914 1039.4
4.18819 1051.8
4.23724 1064.62
4.28629 1077.62
4.33533 1090
4.38438 1102.84
4.43343 1115.85
4.48248 1128.44
4.53153 1138.53
4.58058 1152.04
4.62963 1164.97
4.67868 1177.9
4.72773 1190.77
4.77678 1203
4.82583 1216.56
4.87488 1229.45
4.92392 1242.45
4.97297 1255.4
5.02202 1270.18
5.07107 1283.32
5.12012 1296.22
5.16917 1309.01
5.21822 1322.11
5.26727 1335.3
5.31632 1348.22
5.36536 1361
5.41441 1374.51
5.46346 1387.53
5.51251 1398.77
5.56156 1411.99
5.61061 1425.03
5.65966 1438.2
5.70871 1451.2
5.75776 1464.54
5.80681 1477.74
5.85586 1490.76
5.90491 1503.88
5.95395 1517.34
6.003 1532.36
6.05205 1545.51
6.1011 1558.38
6.15015 1571.68
6.1992 1585.02
6.24825 1598.51
6.2973 1611.42
6.34635 1624.74
6.39539 1638.15
6.44444 1651.65
6.49349 1665.25
6.54254 1676.9
6.59159 1690.36
6.64064 1703.52
6.68969 1717.11
6.73874 1730.45
6.78779 1743.83
6.83684 1757.7
6.88589 1770.89
6.93494 1784.13
6.98398 1797.86
7.03303 1812.93
7.08208 1826.84
7.13113 1840
7.18018 1852.75
7.22923 1866.89
7.27828 1880.72
7.32733 1893.68
7.37638 1907.17
7.42542 1920.73
7.47447 1935.33
7.52352 1946.92
7.57257 1960.74
7.62162 1974.63
7.67067 1988.09
7.71972 2002.12
7.76877 2015.76
7.81782 2028.87
7.86687 2043.15
7.91592 2056.98
7.96497 2070.31
8.01401 2084.78
8.06306 2098.96
8.11211 2113.54
8.16116 2126.5
8.21021 2140.15
8.25926 2155.1
8.30831 2168.32
8.35736 2182.11
8.40641 2196.11
8.45546 2210.04
8.5045 2222.42
8.55355 2236.19
8.6026 2250.81
8.65165 2264.41
8.7007 2278.05
8.74975 2292.49
8.7988 2306.28
8.84785 2320.11
8.8969 2334.77
8.94595 2348.78
8.99499 2362.05
9.04404 2376.33
9.09309 2391.26
9.14214 2407.16
9.19119 2419.05
9.24024 2434.15
9.28929 2448.75
9.33834 2461.44
9.38739 2476.97
9.43644 2489.84
9.48549 2503.66
9.53453 2517.52
9.58358 2531.46
9.63263 2546.42
9.68168 2560.5
9.73073 2574.65
9.77978 2588.85
9.82883 2603.12
9.87788 2617.45
9.92693 2631.84
9.97598 2645.19
10.025 2659.85
10.0741 2675.47
10.1231 2692.31
10.1722 2703.27
10.2212 2717.12
10.2703 2733.07
10.3193 2746.01
10.3684 2760.95
10.4174 2776.03
10.4665 2788.85
10.5155 2804.2
10.5646 2820.5
10.6136 2835.71
10.6627 2845.71
10.7117 2861.34
10.7608 2878.12
10.8098 2891.65
10.8589 2904.78
10.9079 2919.2
10.957 2935
11.006 2949.59
11.0551 2963.78
11.1041 2978.82
11.1532 2994
11.2022 3008.3
11.2513 3023.13
11.3003 3037.62
11.3493 3051.5
11.3984 3066.25
11.4474 3080.9
11.4965 3095.61
11.5456 3110.63
11.5946 3126.5
11.6436 3140.81
11.6927 3155.07
11.7417 3169.86
11.7908 3184.9
11.8398 3198.93
11.8889 3213.77
11.9379 3228.51
11.987 3243.3
12.036 3258.15
12.0851 3273.3
12.1341 3289.28
12.1832 3304.01
12.2322 3318.18
12.2813 3333.4
12.3303 3348.4
12.3794 3362.53
12.4284 3377.45
12.4775 3392.43
12.5265 3407.45
12.5756 3422.81
12.6246 3438.96
12.6737 3453.48
12.7227 3467.96
12.7718 3482.96
12.8208 3498.3
12.8699 3512.8
12.9189 3527.87
12.968 3542.78
13.017 3557.94
13.0661 3573.15
13.1151 3588.5
13.1642 3604.61
13.2132 3619.46
13.2623 3634.08
13.3113 3649.64
13.3604 3664.96
13.4094 3679.41
13.4585 3694.61
13.5075 3709.85
13.5566 3725.15
13.6056 3740.56
13.6547 3756.71
13.7037 3772.08
13.7528 3786.48
13.8018 3802.1
13.8508 3817.95
13.8999 3832.21
13.9489 3847.66
13.998 3862.93
14.0471 3878.23
14.0961 3893.84
14.1451 3909.56
14.1942 3925.99
14.2432 3941.17
14.2923 3955.56
14.3413 3971.74
14.3904 3987.41
14.4394 4001.92
14.4885 4017.39
14.5375 4032.92
14.5866 4048.49
14.6356 4064.45
14.6847 4081.09
14.7337 4096.47
14.7828 4111.01
14.8318 4126.86
14.8809 4143.04
14.9299 4157.44
14.979 4173.1
15.028 4189.12
15.0771 4204.59
15.1261 4220.1
